
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "allanblackia_2D_tagged.sdf" "4" "3d" 
Duration: 6629
0 0 137.9
0 1 145.3
0 2 109.0
0 3 120.7
0 4 109.0
0 5 145.3
0 7 167.8
1 0 163.8
1 1 111.1
1 2 161.5
1 3 104.0
1 4 155.77676
1 5 93.5
1 7 155.7
1 8 122.2
1 9 181.9
1 11 137.0
1 12 142.7
1 13 154.5
1 14 101.6
1 17 62.0
1 18 26.233334
1 19 123.53509
1 20 131.78474
1 21 17.8
1 22 25.5
1 24 21.9
1 25 123.00714
1 26 132.33888
1 27 17.8
1 28 25.6
2 0 164.6
2 1 97.877975
2 2 163.07002
2 3 107.02
2 4 155.77676
2 5 93.2
2 7 154.56857
2 8 122.0
2 9 181.28
2 11 108.4
2 12 145.40164
2 13 151.18
2 14 100.37013
3 0 164.6
3 1 97.877975
3 2 163.07002
3 3 107.02
3 4 155.77676
3 5 93.2
3 7 136.5
3 8 121.37143
3 9 181.71819
3 11 115.942856
3 12 124.2
3 13 117.43636
3 14 144.24902
4 0 31.642105
4 1 71.50636
4 2 42.321053
4 3 140.8421
4 4 121.42857
4 5 31.982857
4 6 32.145714
4 7 50.37143
4 8 36.5
4 9 37.321053
4 10 18.194736
4 11 21.157143
4 12 38.073685
4 13 42.4735
4 14 56.857143
4 15 24.792307
4 16 26.255629
4 17 56.14143
4 18 40.615715
4 19 134.14929
4 20 135.44286
4 21 43.9636
4 22 31.8
4 23 20.6
4 24 20.6
4 25 25.479252
4 26 11.5152025
4 27 20.257143
4 28 16.592112
5 0 27.32
5 1 78.84081
5 2 38.878666
5 3 55.254665
5 4 36.88909
5 5 38.646667
5 6 50.5
5 7 40.9
5 8 34.4
5 9 18.06
5 10 42.9
5 11 38.1
5 12 25.2
5 13 21.0
5 14 48.4
5 15 43.0
