
(rdkit3) C:\Users\jmn\Documents\GitHub\KnapsackSearch>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "amaryll2_2D_tagged.sdf" "4" "3d" 
Duration: 9164
0 0 147.45
0 1 145.8
0 2 115.15
0 3 121.6
0 4 133.5
0 5 112.05
0 6 39.1
0 7 41.130676
0 8 41.130676
0 9 39.1
0 10 133.5
0 11 121.6
0 12 115.15
0 13 145.8
0 14 147.45
0 15 112.05
0 17 55.974922
0 19 65.52857
0 21 65.52857
0 25 55.974922
1 0 121.24286
1 1 114.41428
1 2 143.98572
1 3 146.62857
1 4 111.27143
1 5 131.95714
1 6 39.9
1 7 137.75
1 8 115.63333
1 10 55.974922
2 0 36.7
2 1 25.3
2 2 124.3
2 3 131.4275
2 4 17.73
2 5 25.82
2 6 30.8
2 7 39.4
2 8 60.7
2 10 19.4
3 0 161.18506
3 1 107.41053
3 2 129.46376
3 3 122.43636
3 4 159.8
3 5 97.790306
3 7 85.0
3 8 41.5
3 9 27.3
3 10 130.7
3 11 128.3
3 12 114.5
3 13 158.95454
3 14 114.5
3 15 128.3
3 17 56.57
4 0 161.18506
4 1 107.41053
4 2 129.46376
4 3 122.43636
4 4 159.8
4 5 97.790306
4 7 85.0
4 8 41.5
4 9 27.3
4 10 130.0
4 11 130.9
4 12 115.7
4 13 158.42667
4 14 115.7
4 15 130.9
5 0 160.3375
5 1 114.14503
5 2 129.46376
5 3 123.598335
5 4 154.4
5 5 112.648575
5 6 8.245714
5 8 79.01428
5 9 29.5
5 10 27.3
5 11 130.8
5 12 118.2
5 13 146.1
5 14 147.1
5 15 112.8
5 16 108.8
5 18 55.55
6 0 160.3375
6 1 114.14503
6 2 129.46376
6 3 123.598335
6 4 154.4
6 5 112.648575
6 6 8.245714
6 8 80.5
6 9 41.5
6 10 27.3
6 11 130.7
6 12 128.4
6 13 115.7
6 14 157.66591
6 15 115.7
6 16 128.4
7 0 161.18506
7 1 107.41053
7 2 129.46376
7 3 122.43636
7 4 159.8
7 5 97.790306
7 7 85.0
7 8 41.5
7 9 27.3
7 10 141.18333
7 11 125.97037
7 12 128.32608
7 13 126.8
7 14 128.32608
7 15 125.97037
8 0 161.18506
8 1 112.25651
8 2 128.17245
8 3 124.4
8 4 164.6
8 5 97.790306
8 7 79.9
8 8 43.273335
8 9 194.1
8 11 130.4
8 12 129.0
8 13 115.77857
8 14 157.66591
8 15 115.77857
8 16 129.0
9 0 115.828575
9 1 130.42857
9 2 131.25714
9 3 130.42857
9 4 115.828575
9 5 156.05571
9 7 34.2
9 8 61.4
9 10 45.4
9 11 45.4
10 0 120.9
10 1 118.8
10 2 111.4
10 3 136.0
10 4 127.7
10 5 120.0
10 6 101.0
10 7 125.0
11 0 147.38919
11 1 106.84041
11 2 129.1
11 3 126.6
11 4 109.93
11 5 146.8452
11 7 101.3
11 9 43.8
11 10 60.6
11 12 56.8
11 13 53.4
11 14 28.05
11 15 139.6
11 16 114.9
11 17 26.333334
11 18 78.880165
11 20 170.4568
11 22 21.194042
12 0 137.4
12 1 140.4
12 2 118.3
12 3 141.6104
12 4 105.503334
12 5 148.0
12 7 100.2
12 9 48.43292
12 10 64.434814
12 12 57.1
12 13 52.235455
12 14 38.615456
12 15 35.504505
12 16 75.003105
12 17 38.3
12 18 76.48112
12 21 171.08133
12 23 22.340666
12 25 60.997326
13 0 139.90291
13 1 149.35
13 2 108.890976
13 3 137.76666
13 4 109.93
13 5 151.83951
13 7 56.2976
13 8 43.8
13 9 78.880165
13 11 169.845
13 13 26.333334
13 14 114.9
13 15 139.6
13 16 66.4
13 18 56.7
13 19 27.9
13 20 43.8
13 22 61.175
13 24 61.176117
14 0 137.88077
14 1 140.4
14 2 118.3
14 3 141.6104
14 4 106.15
14 5 152.35783
14 7 44.0
14 8 62.9
14 10 55.8
14 11 53.4
14 12 44.0
14 13 30.17
14 14 71.88571
14 15 123.65714
14 16 132.1
14 18 55.985714
14 20 60.997326
14 22 61.42692
15 0 137.4
15 1 140.4
15 2 118.3
15 3 141.6104
15 4 105.503334
15 5 148.0
15 7 100.2
15 9 51.7
15 10 67.7
15 12 55.8
15 13 63.9
15 14 81.3
15 16 30.17
15 17 71.88571
15 18 123.65714
15 19 137.4
15 21 55.985714
15 23 60.997326
16 0 148.7
16 1 109.204445
16 2 132.9
16 3 122.0
16 4 111.55
16 5 147.7
16 7 55.6
16 8 54.29882
16 10 40.7
16 11 57.1
16 12 34.045162
16 13 131.25714
16 14 127.18
16 15 114.0
16 16 157.0
16 17 114.0
16 18 127.18
16 20 56.57
16 22 55.5
17 0 147.15715
17 1 106.8
17 2 132.1
17 3 124.2
17 4 106.3
17 5 146.4
17 7 101.3
17 9 45.5
17 10 56.9
17 12 58.3
17 13 60.5
17 14 153.6
17 15 132.44772
17 16 68.04444
17 17 68.2
17 18 32.7
18 0 136.0132
18 1 149.35
18 2 108.890976
18 3 137.76666
18 4 109.93
18 5 146.87032
18 7 100.96
18 9 42.266666
18 10 78.34182
18 12 168.89857
18 14 67.01667
18 15 132.44772
18 16 143.6
18 17 66.4
18 19 56.7
18 20 28.05
18 21 43.8
18 24 61.175
19 0 147.38919
19 1 106.84041
19 2 129.1
19 3 126.6
19 4 109.93
19 5 146.8452
19 7 101.3
19 9 42.266666
19 10 60.6
19 12 56.8
19 13 53.4
19 14 28.05
19 15 139.6
19 16 114.9
19 17 34.7
19 18 68.91296
20 0 147.38919
20 1 106.84041
20 2 128.45
20 3 137.76666
20 4 109.93
20 5 146.8452
20 7 101.3
20 9 40.696064
20 10 63.5
20 12 50.6
20 13 57.10606
20 14 74.8
20 15 139.26715
20 16 127.705
20 17 43.466667
20 18 57.858353
20 20 47.4
20 21 24.0
20 22 26.935272
21 0 147.68916
21 1 106.84041
21 2 129.1
21 3 126.6
21 4 114.7325
21 5 150.9
21 7 41.2
21 8 60.6
21 10 56.8
21 11 53.4
21 12 28.2
21 13 143.6
21 14 114.7
21 15 80.8
21 16 68.1
21 19 55.6
21 21 56.099854
22 0 137.4
22 1 140.4
22 2 118.3
22 3 141.6104
22 4 105.503334
22 5 148.0
22 7 100.2
22 9 48.43292
22 10 64.434814
22 12 55.8
22 13 63.9
22 14 77.3
22 16 35.504505
22 17 72.6478
22 18 52.633335
22 19 61.24286
22 22 56.7
22 24 60.997326
23 0 147.9
23 1 104.5
23 2 127.1
23 3 137.7
23 4 108.1
23 5 148.4
23 7 101.554
23 9 51.7
23 10 67.7
23 12 61.8
23 13 63.9
23 14 81.3
23 16 30.17
23 17 71.88571
23 18 123.65714
23 19 137.4
23 21 55.985714
24 0 111.3
24 1 124.6
24 2 134.82
24 3 132.0
24 4 146.9
24 5 144.0
24 7 55.9
24 9 86.2
24 10 48.7
24 11 36.8
24 12 50.31692
24 14 54.875
24 15 40.7
24 16 131.6
24 17 127.5
24 18 64.2
24 19 33.7
25 0 147.9
25 1 104.5
25 2 127.1
25 3 137.7
25 4 108.1
25 5 148.4
25 7 101.554
25 9 51.7
25 10 67.7
25 12 61.8
25 13 63.9
25 14 81.3
25 16 30.4
25 17 71.88571
25 18 124.3
25 19 137.4
25 21 55.985714
26 0 147.2307
26 1 109.86667
26 2 128.00789
26 3 137.76666
26 4 109.93
26 5 146.8452
26 7 101.18291
26 9 42.266666
26 10 73.804344
26 12 163.9
26 14 67.01667
26 15 132.44772
26 16 143.6
26 17 66.4
26 19 56.7
26 20 28.05
26 21 43.8
27 0 135.68533
27 1 147.07632
27 2 112.9
27 3 133.7469
27 4 106.365
27 5 146.87032
27 7 101.35407
27 9 133.0
27 10 116.7
27 11 66.82667
27 12 72.72775
27 13 69.9
27 14 53.4
27 16 160.70601
27 21 105.28
27 22 72.9
27 23 73.5
27 24 72.44
27 25 77.709915
27 27 61.1
28 0 147.6
28 1 112.3
28 2 129.5
28 3 126.5
28 4 109.4
28 5 147.6
28 7 56.175
28 8 43.8
28 9 67.3
28 11 90.7
28 13 31.7
28 14 114.9
28 15 139.6
28 16 66.4
28 18 56.7
28 19 27.9
28 20 43.8
28 22 56.033333
29 0 148.6
29 1 106.95
29 2 124.3
29 3 130.7
29 4 103.9
29 5 151.5
29 7 102.05
29 9 132.4
29 10 122.6
29 11 73.2
29 12 69.8
29 13 69.9
29 14 53.4
29 16 163.8
30 0 147.38919
30 1 106.84041
30 2 129.1
30 3 126.6
30 4 109.93
30 5 146.8452
30 7 101.3
30 9 41.2
30 10 60.6
30 12 56.8
30 13 53.4
30 14 28.2
30 15 143.6
30 16 132.44772
30 17 68.14333
30 18 74.82727
31 0 135.68533
31 1 147.07632
31 2 112.9
31 3 133.7469
31 4 106.365
31 5 146.87032
31 7 101.35407
31 9 133.0
31 10 122.6
31 11 73.2
31 12 69.8
31 13 69.9
31 14 53.4
31 16 160.70601
32 0 111.3
32 1 124.6
32 2 134.82
32 3 132.0
32 4 146.9
32 5 144.0
32 7 55.9
32 9 89.4
32 10 48.7
32 11 36.8
32 12 50.31692
32 14 54.875
32 15 40.7
32 16 146.7
32 17 126.0
32 18 192.9
32 20 36.8
33 0 135.68533
33 1 147.07632
33 2 112.9
33 3 137.76666
33 4 109.93
33 5 146.87032
33 7 101.35407
33 9 40.8
33 10 67.0
33 12 160.70601
33 14 71.675
33 15 72.72775
33 16 76.50483
33 17 75.73333
34 0 147.2307
34 1 110.63333
34 2 137.38461
34 3 141.6104
34 4 105.503334
34 5 147.13
34 7 101.354576
34 9 51.7
34 10 90.85
34 12 90.7
34 14 57.10606
34 16 64.434814
34 17 30.4
34 18 71.88571
34 19 124.3
34 20 137.4
34 22 55.985714
34 23 42.635925
35 0 119.85
35 1 120.0
35 2 124.6
35 3 112.0
35 4 138.7
35 5 125.35
35 6 115.5
35 7 129.36667
35 9 139.31667
35 11 41.905
35 12 19.2
35 13 161.5139
35 15 125.35714
35 16 138.01
35 17 110.18667
35 18 130.8
35 19 150.9
35 21 146.56363
35 22 129.5
35 23 120.3
36 0 63.455555
36 2 60.157143
36 3 127.4
36 4 135.87392
36 5 62.745453
36 7 174.6
36 9 83.9
36 11 31.9
36 12 16.45
36 13 16.45
36 14 72.5
36 15 16.6
36 17 57.08
36 18 23.635792
36 19 30.65
37 0 31.642105
37 1 71.50636
37 2 42.321053
37 3 140.8421
37 4 121.42857
37 5 31.982857
37 6 32.145714
37 7 50.37143
37 8 36.5
37 9 37.321053
37 10 18.194736
37 11 21.157143
37 12 38.073685
37 13 42.4735
37 14 57.109566
37 15 26.255629
37 16 34.1
37 17 42.9
37 18 48.0
37 19 11.8
37 21 40.0
37 22 40.0
37 23 15.540957
38 0 147.152
38 1 148.84
38 2 106.85833
38 3 127.164
38 4 137.31017
38 5 109.89302
38 6 116.7
38 7 137.5
38 9 160.70601
38 11 116.3
38 12 131.7
38 13 123.1
38 14 124.0
38 16 102.64
39 0 156.82857
39 1 115.91428
39 2 131.41429
39 3 136.1
39 4 131.41429
39 5 115.91428
39 6 38.37143
39 7 73.55
39 8 64.55953
39 10 142.975
39 11 144.9
39 13 106.85833
39 14 127.164
39 15 137.31017
39 16 109.89302
39 17 116.7
39 18 137.5
39 20 160.70601
39 22 116.3
39 23 131.7
39 24 123.1
39 25 124.0
40 0 156.36029
40 1 106.185715
40 2 161.26666
40 3 109.538666
40 4 162.64546
40 5 95.819695
40 7 72.0
40 8 74.5
40 9 80.3
40 10 72.5
40 11 82.5
40 13 62.9
40 19 180.8
40 21 109.24545
40 22 166.62857
40 24 20.914286
41 0 161.26256
41 1 93.11429
41 2 164.3
41 3 93.11429
41 4 161.26256
41 5 107.26613
41 6 203.45
41 8 32.583332
41 10 56.19282
41 13 56.19282
42 0 161.26256
42 1 92.2
42 2 166.0
42 3 96.3318
42 4 163.07002
42 5 111.2
42 6 205.1
42 8 33.7
42 11 56.4
42 13 56.19282
43 0 128.71428
43 1 128.45
43 2 128.71428
43 3 128.78572
43 4 134.1
43 5 128.78572
43 6 152.5
43 7 128.2
43 8 193.44073
44 0 161.75262
44 1 150.83333
44 2 78.95
44 3 131.1
44 4 126.6
44 5 130.4
44 6 140.41364
44 7 137.1309
44 8 134.43546
44 9 130.97728
44 10 130.97728
44 11 134.43546
44 12 137.1309
44 13 138.43889
44 14 125.35555
44 15 132.56923
44 16 137.1047
44 17 12.880851
44 18 123.1
44 19 135.6
44 20 54.406384
44 21 33.86
44 22 42.478573
44 23 65.28333
44 24 132.44772
44 25 146.13385
44 26 22.033333
44 28 26.85
44 29 26.85
44 30 12.816667
44 31 12.816667
44 32 13.3
44 34 88.52
44 35 40.94349
44 36 64.20909
44 37 49.8
44 38 35.4
44 39 26.35
44 40 26.35
44 42 27.714285
45 0 164.18
45 1 98.94334
45 2 161.46333
45 3 104.735
45 4 156.5
45 5 93.725
45 7 156.83
45 8 132.67
45 9 177.33
45 12 100.36667
45 13 79.5325
45 14 78.286316
45 15 71.274284
45 16 77.7
45 18 62.6
45 23 106.6
45 24 74.4
45 25 75.9
45 26 70.905716
45 27 66.4
45 32 121.105
45 33 130.935
45 34 115.18
45 35 160.12
45 36 115.18
45 37 130.935
46 0 162.4
46 1 99.2
46 2 160.825
46 3 105.44
46 4 155.94
46 5 95.4
46 7 162.0
46 8 135.8
46 9 180.1
46 12 102.6
46 13 73.9
46 14 77.3
46 15 69.7
46 16 76.4
46 18 60.8
46 23 121.105
46 24 130.935
46 25 115.18
46 26 160.12
46 27 115.18
46 28 130.935
46 32 102.4
46 33 78.6
46 34 78.34
46 35 69.695
46 36 78.39571
46 38 61.076668
47 0 164.18
47 1 98.94334
47 2 161.46333
47 3 104.735
47 4 156.5
47 5 93.725
47 7 158.858
47 8 134.59
47 9 178.825
47 12 101.53866
47 13 72.78571
47 14 75.165215
47 15 69.836845
47 16 66.07549
47 21 124.0
47 22 131.54286
47 23 117.9
47 24 161.3
47 25 117.9
47 26 131.54286
47 28 103.6
47 29 74.7
47 30 77.4
47 31 71.1
47 32 66.9
48 0 162.4
48 1 99.2
48 2 160.825
48 3 105.44
48 4 155.94
48 5 95.4
48 7 158.858
48 8 132.67
48 9 178.825
48 12 100.36667
48 13 79.5325
48 14 78.07
48 15 71.502266
48 16 77.7
48 18 62.6
48 23 106.6
48 24 74.4
48 25 75.9
48 26 70.905716
48 27 66.4
48 32 121.105
48 33 130.935
48 34 115.18
48 35 160.12
48 36 115.18
48 37 130.935
48 41 99.95
48 42 73.05
48 43 76.35
48 44 69.678665
48 45 76.4
48 47 60.811428
49 0 162.4
49 1 99.2
49 2 160.825
49 3 105.44
49 4 155.94
49 5 95.4
49 7 158.858
49 8 132.67
49 9 178.825
49 12 100.36667
49 13 78.81
49 14 78.07
49 15 71.502266
49 16 77.7
49 18 62.6
49 23 104.5
49 24 76.38571
49 25 78.37273
49 26 69.9
49 27 78.77273
49 29 61.1
49 34 121.105
49 35 130.935
49 36 115.18
49 37 160.12
49 38 115.18
49 39 130.935
49 43 103.7
49 44 78.6
49 45 77.277145
49 46 69.695
49 47 76.4
49 49 61.076668
50 0 164.18
50 1 98.94334
50 2 161.46333
50 3 103.675
50 4 156.375
50 5 93.675
50 7 157.175
50 8 133.1
50 9 176.9
50 12 101.1
50 13 73.9
50 14 77.3
50 15 69.7
50 16 76.4
50 18 60.8
50 23 121.333336
50 24 121.63333
50 25 115.5
50 26 148.78
50 27 145.16
50 28 115.6
51 0 164.18
51 1 98.94334
51 2 161.46333
51 3 103.675
51 4 156.375
51 5 93.675
51 7 157.175
51 8 133.1
51 9 176.9
51 12 103.15
51 13 74.1
51 14 74.9
51 15 70.0
51 16 75.5
51 18 67.327774
51 20 100.2875
51 21 70.365
51 22 70.695
51 23 71.85333
51 24 68.3225
51 26 18.2
51 33 121.333336
51 34 121.63333
51 35 115.5
51 36 148.78
51 37 145.16
51 38 115.6
52 0 164.18
52 1 98.94334
52 2 161.0
52 3 103.675
52 4 156.5
52 5 93.675
52 7 158.4
52 8 136.2
52 9 176.9
52 12 103.15
52 13 74.1
52 14 74.9
52 15 70.0
52 16 75.5
52 18 67.327774
52 20 100.2875
52 21 70.365
52 22 70.695
52 23 71.85333
52 24 68.3225
52 26 17.845
52 33 120.6
52 34 124.9
52 35 115.5
52 36 146.1
52 37 149.1
52 38 115.1
52 40 55.7
53 0 152.7
53 1 103.29425
53 2 157.9
53 3 105.4
53 4 144.3
53 5 126.7
53 8 156.4317
53 9 133.97144
53 10 179.2
53 13 101.1
53 14 73.9
53 15 77.3
53 16 69.7
53 17 76.4
53 19 60.8
53 24 121.784
53 25 121.990906
53 26 115.5
53 27 148.78
53 28 145.16
53 29 116.13636
54 0 169.6
54 1 103.3
54 2 159.2
54 3 113.3
54 4 156.95
54 5 94.95
54 7 163.3
54 8 144.4
54 9 136.8
54 11 100.8
54 12 80.5
54 13 76.9
54 14 71.317825
54 15 77.7
54 17 62.238
54 22 106.38571
54 23 76.38571
54 24 78.37273
54 25 71.7
54 26 78.77273
54 28 62.694443
54 33 119.4
54 34 135.5
54 35 117.3
54 36 165.17143
54 37 117.3
54 38 135.5
55 0 169.6
55 1 103.3
55 2 159.2
55 3 113.3
55 4 156.95
55 5 94.95
55 7 163.3
55 8 144.4
55 9 136.8
55 11 103.7
55 12 74.8
55 13 77.26667
55 14 69.96667
55 15 76.68261
55 17 66.4
55 19 100.2875
55 20 70.365
55 21 70.695
55 22 71.85333
55 23 68.3225
55 25 18.2
55 32 119.4
55 33 135.5
55 34 117.3
55 35 165.17143
55 36 117.3
55 37 135.5
56 0 169.6
56 1 103.3
56 2 159.2
56 3 113.3
56 4 156.95
56 5 94.95
56 7 163.3
56 8 144.4
