
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "apocyn_2D_tagged.sdf" "4" "3d" 
Duration: 69672
0 0 19.096
0 1 36.510075
0 2 45.9875
0 3 45.977108
0 4 42.4735
0 5 39.7
0 6 54.783
0 7 48.325
0 8 52.596096
0 9 174.27
0 12 31.816843
0 13 43.42857
0 14 33.5
0 15 19.6375
0 16 154.25714
0 17 104.0
0 18 43.060562
0 19 15.540957
0 20 26.137941
0 21 183.54755
1 0 18.689344
1 1 36.510075
1 2 45.9875
1 3 45.977108
1 4 48.43292
1 5 35.152916
1 6 54.783
1 7 48.325
1 8 52.596096
1 9 174.27
1 12 31.816843
1 13 43.42857
1 14 32.8
1 15 19.6375
1 16 154.25714
1 17 104.0
1 18 43.060562
1 19 205.82222
1 21 26.137941
1 22 183.54755
2 0 152.85
2 2 152.936
2 3 118.5
2 4 152.95
2 7 39.0
2 8 121.0
2 9 139.5
2 10 67.3
2 12 13.6
2 14 139.4794
3 0 85.3
3 1 71.72
3 2 73.95
3 3 88.3
3 6 140.85385
3 8 122.2
3 9 149.7
3 11 152.1
3 13 154.5
3 15 39.0
3 16 121.0
3 17 139.5
3 18 67.3
3 20 13.6
3 23 61.1
4 0 69.42857
4 1 69.0
4 2 33.20084
4 3 49.528
4 4 39.0
4 5 41.96
4 6 50.566944
4 7 46.915653
4 8 69.26
4 10 171.5
4 12 50.5
4 13 43.290462
4 14 41.126556
4 15 22.373453
4 16 52.93
4 17 27.97
4 18 26.255629
4 19 39.26
4 20 73.62
4 21 75.45
4 23 41.63
4 24 10.58
4 25 28.67
4 26 20.18
4 27 20.18
4 29 12.38
4 30 12.78923
4 31 15.195883
5 0 69.42857
5 1 69.01428
5 2 24.542856
5 3 51.04286
5 4 41.642857
5 5 39.728573
5 6 54.114285
5 7 37.528572
5 8 56.514286
5 9 43.1
5 10 39.357143
5 11 21.157143
5 12 52.93
5 13 27.97
5 14 24.13
5 15 39.26
5 16 73.62
5 17 75.45
5 19 41.63
5 20 28.67
5 21 20.18
5 22 20.18
5 23 10.58
5 25 12.38
5 26 11.97
5 27 46.6
5 28 212.67143
5 30 14.485714
6 0 131.7
6 1 120.3
6 2 136.7
6 3 118.4
6 4 162.9
6 5 114.4
6 6 173.6
7 0 130.21
7 1 128.47
7 2 133.81
7 3 128.47
7 4 130.21
7 5 129.34
7 6 172.54
8 0 35.2
8 1 27.35
8 2 41.19208
8 3 47.542107
8 4 217.0
8 6 30.897356
8 7 127.625
8 8 133.4943
8 9 20.707407
8 10 14.337037
8 11 35.90517
8 12 175.42923
9 0 35.2
9 1 27.35
9 2 41.19208
9 3 47.542107
9 4 217.0
9 6 30.897356
9 7 127.625
9 8 133.4943
9 9 20.707407
9 10 14.337037
9 11 35.90517
9 12 173.52422
9 15 52.017895
10 0 157.2
10 1 107.4
10 2 187.0
10 4 107.4
10 5 157.2
10 6 176.8
10 9 56.5
10 11 56.5
11 0 148.3
11 1 145.8
11 2 115.8
11 3 121.9
11 4 132.19157
11 5 113.2
11 6 37.33349
11 7 39.8
11 8 87.47949
11 9 41.19073
11 10 126.7
11 11 121.6
11 12 114.708626
11 13 144.49857
11 14 147.1365
11 15 109.89294
11 17 55.974922
11 19 176.4381
11 22 72.9
11 26 55.974922
12 0 148.69112
12 1 147.52063
12 2 113.8
12 3 121.89066
12 4 132.19157
12 5 113.8
12 6 37.33349
12 7 39.8
12 8 87.47949
12 9 41.19073
12 10 126.7
12 11 121.6
12 12 114.708626
12 13 144.49857
12 14 147.1365
12 15 109.89294
12 17 55.974922
12 19 176.4381
12 22 72.9
12 25 55.6
12 27 55.77382
13 0 115.15
13 1 145.8
13 2 147.45
13 3 113.2
13 4 132.9
13 5 121.9
13 6 33.9
13 7 43.8
13 8 48.259136
13 9 63.964725
13 11 87.6
13 13 73.3
13 14 133.6
13 15 119.057144
13 16 114.9
13 17 146.27155
13 18 147.58571
13 19 110.0
13 21 55.7
13 24 55.974922
14 0 147.45
14 1 145.8
14 2 115.15
14 3 121.6
14 4 133.5
14 5 112.05
14 6 39.1
14 7 41.130676
14 8 41.130676
14 9 39.1
14 10 133.5
14 11 121.6
14 12 115.15
14 13 145.8
14 14 147.45
14 15 112.05
14 17 55.974922
14 19 65.52857
14 21 65.52857
14 25 55.974922
15 0 147.45
15 1 145.8
15 2 115.15
15 3 121.3
15 4 129.7
15 5 110.9
