
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "calopyll_2D_tagged.sdf" "4" "3d" 
Duration: 10436
0 0 157.96666
0 1 96.1
0 2 157.2
0 3 100.6
0 4 156.9
0 5 95.4
0 7 82.7
0 8 68.3
0 9 28.8
0 11 131.6
0 12 115.0
0 13 145.605
0 14 145.805
0 15 115.715
0 16 119.0
1 0 164.6
1 1 99.0
1 2 161.4
1 3 104.84615
1 4 158.83076
1 5 95.00769
1 7 161.675
1 8 104.1
1 9 182.60834
1 11 123.69865
1 12 127.98287
1 13 124.44103
1 14 152.28316
1 15 114.14503
1 16 126.18489
1 18 114.316666
1 19 154.155
1 20 103.01818
1 21 160.42728
1 22 104.60555
1 23 153.89711
1 25 164.1909
1 26 103.7
1 27 182.55556
1 29 121.34286
1 30 128.6
1 31 115.9
1 32 161.4
1 33 115.9
1 34 128.6
2 0 174.7
2 3 33.8
2 4 25.625826
2 5 29.525
2 6 29.62
2 7 29.6975
2 8 29.621952
2 9 29.42
2 10 29.505
2 11 29.505
2 12 29.505
2 13 29.505
2 14 29.505
2 15 29.42
2 16 29.075
2 17 29.04
2 18 28.72
2 19 32.043335
2 20 22.15
2 21 13.97
3 0 13.97
3 1 22.15
3 2 32.043335
3 3 28.72
3 4 29.04
3 5 29.075
3 6 29.42
3 7 29.505
3 8 29.505
3 9 29.505
