C00000956 | Calophyllum enervosum
C00001015 | Calophyllum inophyllum
C00001015 | Calophyllum pinetorum
C00001209 | Calophyllum calaba
C00001209 | Calophyllum inophyllum
C00001211 | Calophyllum calaba
C00001211 | Calophyllum inophyllum
C00001217 | Calophyllum calaba
C00001217 | Calophyllum inophyllum
C00001223 | Calophyllum calaba
C00001223 | Calophyllum inophyllum
C00001224 | Calophyllum calaba
C00001224 | Calophyllum inophyllum
C00001228 | Calophyllum calaba
C00001228 | Calophyllum inophyllum
C00001230 | Calophyllum calaba
C00001230 | Calophyllum inophyllum
C00001232 | Calophyllum calaba
C00001232 | Calophyllum inophyllum
C00001233 | Calophyllum calaba
C00001233 | Calophyllum inophyllum
C00001234 | Calophyllum inophyllum
C00001238 | Calophyllum calaba
C00001238 | Calophyllum inophyllum
C00002454 | Calophyllum brasiliense
C00002454 | Calophyllum lanigerum var. austrocoriaceum
C00002455 | Calophyllum bracteatum
C00002455 | Calophyllum brasiliense
C00002455 | Calophyllum inophyllum
C00002554 | Calophyllum polyanthum
C00002647 | Calophyllum polyanthum
C00002668 | Calophyllum polyanthum
C00002944 | Calophyllum bracteatum
C00002944 | Calophyllum inophyllum
C00002945 | Calophyllum brasilience
C00002945 | Calophyllum brasiliense
C00002945 | Calophyllum caledonicum
C00002945 | Calophyllum inophyllum
C00002947 | Calophyllum bracteatum
C00002947 | Calophyllum brasilience
C00002947 | Calophyllum brasiliensis
C00002947 | Calophyllum calaba
C00002947 | Calophyllum cuneifolium
C00002947 | Calophyllum fragrans
C00002947 | Calophyllum inophyllum
C00002947 | Calophyllum neo-ebudicum
C00002947 | Calophyllum scriblitifolium
C00002947 | Calophyllum soulattri
C00002947 | Calophyllum tomentosum
C00002947 | Calophyllum trapezifolium
C00002947 | Calophyllum zeylanicum
C00002949 | Calophyllum bracteatum
C00002949 | Calophyllum calaba
C00002949 | Calophyllum cuneifolium
C00002949 | Calophyllum fragrans
C00002949 | Calophyllum inophyllum
C00002949 | Calophyllum pulcherrimum
C00002949 | Calophyllum ramiflorum
C00002949 | Calophyllum sclerophyllum
C00002949 | Calophyllum soulattri
C00002949 | Calophyllum thwaitesii
C00002949 | Calophyllum tomentosum
C00002949 | Calophyllum trapezifolium
C00002949 | Calophyllum walkeri
C00002954 | Calophyllum brasilience
C00002954 | Calophyllum brasiliense
C00002954 | Calophyllum teysmannii Miq.var.inophylloide
C00002959 | Calophyllum austroindicum
C00002959 | Calophyllum bracteatum
C00002959 | Calophyllum brasilience
C00002959 | Calophyllum brasiliense
C00002959 | Calophyllum calaba
C00002959 | Calophyllum canum
C00002959 | Calophyllum cordato-oblongum
C00002959 | Calophyllum cuneifolium
C00002959 | Calophyllum fragrans
C00002959 | Calophyllum inophyllum
C00002959 | Calophyllum neo-ebudicum
C00002959 | Calophyllum ramiflorum
C00002959 | Calophyllum sclerophyllum
C00002959 | Calophyllum scriblitifolium
C00002959 | Calophyllum thwaitesii
C00002959 | Calophyllum tomentosum
C00002959 | Calophyllum trapezifolium
C00002959 | Calophyllum walkeri
C00002959 | Calophyllum zeylanicum
C00002961 | Calophyllum blancoi
C00002961 | Calophyllum inophyllum
C00002964 | Calophyllum caledonicum
C00002964 | Calophyllum fragrans
C00002964 | Calophyllum inophyllum
C00002965 | Calophyllum inophyllum
