
(rdkit3) C:\Users\jmn\Documents\GitHub\KnapsackSearch>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "cannab_2D_tagged.sdf" "4" "3d" 
Duration: 7835
0 0 18.497894
0 1 36.510075
0 2 45.9875
0 3 45.977108
0 4 48.43292
0 5 35.152916
0 6 54.783
0 7 48.325
0 8 52.596096
0 9 174.27
0 12 44.27
0 13 76.54
0 14 38.73
0 15 26.935272
0 16 157.68
0 17 106.11
0 18 42.69
0 20 205.82222
0 22 26.137941
0 23 183.54755
1 0 152.85
1 2 152.936
1 3 118.5
1 4 152.95
1 7 39.0
1 8 121.0
1 9 139.5
1 10 67.3
1 12 13.6
1 14 139.4794
2 1 152.936
2 2 118.5
2 3 152.95
2 5 152.85
2 7 39.0
2 8 122.857445
2 9 135.64667
2 10 19.706667
2 11 24.16
2 13 139.4794
3 0 85.98
3 1 71.72
3 2 73.95
3 3 88.3
3 6 140.85385
3 8 122.2
3 9 149.7
3 11 152.1
3 13 154.5
3 15 39.0
3 16 121.0
3 17 139.5
3 18 13.6
3 19 67.3
3 23 61.69
4 0 85.3
4 1 71.72
4 2 73.95
4 3 88.3
4 6 140.85385
4 8 122.2
4 9 149.7
4 11 152.1
4 13 154.5
4 15 39.0
4 16 121.0
4 17 139.5
4 18 67.3
4 20 13.6
4 23 61.1
5 1 150.39017
5 2 122.2
5 3 152.95
5 5 170.43571
5 7 13.875
5 9 39.0
5 10 121.0
5 11 139.5
5 12 13.6
5 13 67.3
5 16 140.85385
5 18 88.38333
5 19 74.78
5 20 71.72
5 21 85.98
5 23 61.69
6 0 121.24286
6 1 114.41428
6 2 143.98572
6 3 146.62857
6 4 111.27143
6 5 131.95714
6 6 39.9
6 7 137.75
6 8 115.63333
6 10 55.974922
