C00000619 | Cannabis sativa
C00000663 | Cannabis sativa
C00000664 | Cannabis sativa
C00000665 | Cannabis sativa
C00000666 | Cannabis sativa
C00000667 | Cannabis sativa
C00000668 | Cannabis sativa
C00000669 | Cannabis sativa
C00001029 | Cannabis sativa L.
C00001555 | Cannabis sativa
C00002320 | Cannabis sativa
C00002419 | Cannabis sativa
C00002641 | Cannabis sativa var. indica
C00002642 | Cannabis sativa var. indica
C00002675 | Cannabis sativa
C00002879 | Cannabis sativa
C00004035 | Cannabis sativa
C00004036 | Cannabis sativa
C00004089 | Cannabis sativa L.
C00005734 | Cannabis sativa var. indica
C00006130 | Cannabis sativa
C00006200 | Cannabis sativa
C00006202 | Cannabis sativa
C00006392 | Cannabis sativa
C00010335 | Cannabis sativa
C00010825 | Cannabis sativa
C00010970 | Cannabis sativa
C00015288 | Cannabis sativa
C00015315 | Cannabis sativa
C00015396 | Cannabis sativa
C00015535 | Cannabis sativa
C00015692 | Cannabis sativa
C00015745 | Cannabis sativa
C00015750 | Cannabis sativa
C00015751 | Cannabis sativa
C00015752 | Cannabis sativa
C00015791 | Cannabis sativa
C00032208 | Cannabis sativa
C00038694 | Cannabis sativa
C00047617 | Cannabis sativa
C00047618 | Cannabis sativa
C00047690 | Cannabis sativa
C00002500 | Celtis spp.
C00003558 | Celtis philippinensis
C00003672 | Celtis laevigata
C00003674 | Celtis laevigata
C00003740 | Celtis philippinensis
C00029441 | Celtis philippinensis
C00035907 | Celtis philippinensis
C00000019 | Humulus lupulus
C00000091 | Humulus lupulus
C00000094 | Humulus lupulus
C00000095 | Humulus lupulus
C00000096 | Humulus lupulus
C00000099 | Humulus lupulus
C00000997 | Humulus lupulus
C00001110 | Humulus japonicus
C00001189 | Humulus lupulus
C00001246 | Humulus lupulus
C00002697 | Humulus lupulus
C00002701 | Humulus lupulus
C00002701 | Humulus japonicus
C00002709 | Humulus lupulus
C00003118 | Humulus japonicus
C00003147 | Humulus lupulus
C00003186 | Humulus lupulus
C00004266 | Humulus japonicus
C00005167 | Humulus lupulus
C00005211 | Humulus lupulus
C00005449 | Humulus lupulus
C00005456 | Humulus lupulus
C00006956 | Humulus lupulus
C00006957 | Humulus lupulus
C00007081 | Humulus lupulus
C00007099 | Humulus lupulus
C00007100 | Humulus lupulus
C00007235 | Humulus lupulus
C00007239 | Humulus lupulus
C00008197 | Humulus lupulus
C00008245 | Humulus lupulus
C00008246 | Humulus lupulus
C00012708 | Humulus lupulus
C00012714 | Humulus lupulus
C00014471 | Humulus lupulus
C00014471 | Humulus lupul
C00014472 | Humulus lupulus
C00014473 | Humulus lupulus
C00014474 | Humulus lupulus
C00014475 | Humulus lupulus
C00014476 | Humulus lupulus
C00014477 | Humulus lupulus
C00014478 | Humulus lupulus
C00014615 | Humulus lupulus
C00019556 | Humulus lupulus
C00020051 | Humulus lupulus
C00020070 | Humulus lupulus
C00020084 | Humulus lupulus
C00021230 | Humulus lupulus
C00029455 | Humulus lupulus
C00035518 | Humulus lupulus
C00035519 | Humulus lupulus
C00035567 | Humulus lupulus
C00035575 | Humulus lupulus
C00036262 | Humulus lupulus
C00042708 | Humulus lupulus L.
C00042709 | Humulus lupulus L.
C00042710 | Humulus lupulus L.
C00042711 | Humulus lupulus L.
C00042712 | Humulus lupulus L.
C00042713 | Humulus lupulus L.
C00050939 | Humulus lupulus
C00050940 | Humulus lupulus
C00051372 | Humulus lupulus
C00051372 | Humulus lupulus,
C00002631 | Pteroceltis tatarinowii
C00004452 | Trema humbertii
C00006279 | Trema aspera
C00006279 | Trema cannabina
C00046250 | Trema orientalis
