
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "garcin_2D_tagged.sdf" "4" "3d" 
Duration: 39500
0 0 136.1
0 1 116.3
0 2 162.3
0 3 108.3
0 4 139.4
0 5 117.8
0 6 34.7
0 7 76.0
0 9 169.9
0 11 20.75
1 0 150.94228
1 1 149.43
1 2 106.69
1 3 130.72897
1 4 125.26655
1 5 101.6
1 6 150.92325
1 7 129.94
1 8 125.235
1 9 130.15794
1 10 138.33398
1 11 128.01012
1 12 110.95977
1 13 147.96616
1 14 147.2307
1 15 109.5
1 17 101.338196
1 19 169.3
1 22 68.7
1 24 60.70435
1 26 55.77
1 28 55.970627
2 0 157.96666
2 1 96.1
2 2 157.2
2 3 100.6
2 4 156.9
2 5 95.4
2 7 82.7
2 8 68.3
2 9 28.8
2 11 131.6
2 12 115.0
2 13 145.605
2 14 145.805
2 15 115.715
2 16 119.0
3 0 166.13
3 1 96.314285
3 2 162.52
3 3 102.8
3 4 165.28
3 5 96.92667
3 7 197.6
3 9 55.03
3 10 82.7
3 12 128.9
3 13 129.2
3 14 115.0
3 15 158.42667
3 16 115.0
3 17 129.2
3 19 108.8
3 20 165.6
3 21 97.5
3 22 163.07002
3 23 107.26613
3 24 156.7
3 26 83.3
3 27 72.69889
3 28 196.86
3 31 129.44
3 32 114.14321
3 33 146.1
3 34 147.1
3 35 112.8
3 36 123.933334
3 38 55.55
4 0 166.13
4 1 96.314285
4 2 162.52
4 3 102.8
4 4 165.28
4 5 96.92667
4 7 197.6
4 9 55.03
4 10 76.763336
4 12 133.6
4 13 115.81
4 14 148.9
4 15 149.2
4 16 119.0
4 17 119.76
4 20 108.8
4 21 165.6
4 22 97.5
4 23 163.07002
4 24 107.26613
4 25 156.7
4 27 83.3
4 28 72.69889
4 29 196.86
4 32 129.44
4 33 114.93
4 34 146.105
4 35 146.625
4 36 116.06
4 37 119.28
5 0 168.5
5 1 97.0
5 2 164.8
5 3 103.4
5 4 165.4
5 5 96.2
5 7 79.9
5 8 43.6
5 9 197.55
5 11 130.18546
5 12 128.56714
5 13 115.77857
5 14 157.66591
5 15 115.77857
5 16 128.56714
6 0 164.6
6 1 99.0
6 2 161.4
6 3 104.84615
6 4 158.83076
6 5 95.00769
6 7 161.675
6 8 104.1
6 9 182.60834
6 11 123.69865
6 12 127.98287
6 13 124.44103
6 14 152.28316
6 15 114.14503
6 16 126.18489
6 18 114.316666
6 19 154.155
6 20 103.01818
6 21 160.42728
6 22 104.60555
6 23 153.89711
6 25 164.1909
6 26 103.7
6 27 182.55556
6 29 121.34286
6 30 128.6
6 31 115.9
6 32 161.4
6 33 115.9
6 34 128.6
7 0 162.64546
7 1 109.538666
7 2 161.26666
7 3 106.185715
7 4 155.4
7 5 95.819695
7 7 164.63846
7 8 104.5
7 9 181.45
7 11 121.2
7 12 126.6
7 13 115.9
7 14 161.4
7 15 115.9
7 16 126.6
7 19 72.0
7 20 74.5
7 21 80.3
7 22 72.5
7 23 82.5
7 25 62.9
8 0 162.5
8 1 98.0
8 2 161.3
8 3 103.9
8 4 155.9
8 5 103.6
8 6 73.65
8 7 71.05
8 8 78.6
8 9 70.4
8 10 81.5
8 12 61.4
8 18 163.9
8 19 102.5
8 20 181.9
8 22 121.6
8 23 128.6
8 24 116.0
8 25 161.4
8 26 116.0
8 27 128.6
9 0 143.21428
9 1 152.3
9 2 99.3
9 3 149.95
9 4 111.7
9 5 109.49333
9 6 143.3
