C00000550 | Garcinia bancana MIQ
C00000700 | Garcinia subelliptica Merr.
C00000956 | Garcinia cornea
C00000956 | Garcinia dulcis
C00000956 | Garcinia mangostana
C00000956 | Garcinia speciosa
C00000976 | Garcinia buchananii
C00000976 | Garcinia eugeniifolia
C00000976 | Garcinia kola
C00000978 | Garcinia kola
C00000978 | Garcinia mannii
C00000982 | Garcinia multiflora
C00001015 | Garcinia livingstonei
C00001059 | Garcinia hombroniana
C00001110 | Garcinia dulcis
C00001110 | Garcinia hombroniana
C00001110 | Garcinia xanthochymus
C00002498 | Garcinia multiflora
C00002647 | Garcinia densivenia
C00002724 | Garcinia jasminoides
C00002934 | Garcinia mangostana
C00002947 | Garcinia lancilimba
C00002947 | Garcinia merguensis
C00002947 | Garcinia nigrolineata
C00002949 | Garcinia afzelii ENGL.
C00002949 | Garcinia cowa
C00002949 | Garcinia griffithii
C00002949 | Garcinia indica
C00002949 | Garcinia oblongifolia
C00002949 | Garcinia spp.
C00002950 | Garcinia hanburyi
C00002950 | Garcinia morella
C00002951 | Garcinia dulcis
C00002951 | Garcinia mangostana
C00002954 | Garcinia eugenifolia
C00002958 | Garcinia mangostana
C00002963 | Garcinia cowa
C00002963 | Garcinia dulcis
C00002963 | Garcinia echinocarpa
C00002963 | Garcinia fusca
C00002963 | Garcinia mangostana
C00002963 | Garcinia terpnophylla
C00002964 | Garcinia linii
C00002964 | Garcinia spp.
C00002964 | Garcinia xanthochymus
C00002967 | Garcinia hanburyi
C00002967 | Garcinia morella
C00002968 | Garcinia cowa
C00002968 | Garcinia echinocarpa
C00002968 | Garcinia griffithii
C00002968 | Garcinia mangostana
C00002968 | Garcinia multiflora
C00002968 | Garcinia pedunculata
C00002968 | Garcinia polyantha Oliv.
C00002968 | Garcinia terpnophylla
C00002976 | Garcinia polyantha Oliv.
C00002980 | Garcinia linii
C00002991 | Garcinia assigu
C00002991 | Garcinia bancana MIQ
C00002991 | Garcinia cambogia
C00002991 | Garcinia dulcis
C00002991 | Garcinia huillkensis
C00002991 | Garcinia indica
C00003001 | Garcinia kola
C00003003 | Garcinia mangostana
C00003003 | Garcinia multiflora
C00003023 | Garcinia dulcis
C00003023 | Garcinia mannii
C00003023 | Garcinia ovalifolia
C00003023 | Garcinia pyrifera
C00003023 | Garcinia xanthochymus
C00003672 | Garcinia afzelii ENGL.
C00003672 | Garcinia echinocarpa
C00003672 | Garcinia mangostana L.
C00003672 | Garcinia multiflora
C00003672 | Garcinia terpnophylla
C00003674 | Garcinia afzelii ENGL.
C00003674 | Garcinia bancana MIQ
C00003674 | Garcinia multiflora
C00003738 | Garcinia vilersiana
C00003741 | Garcinia dulcis
C00003749 | Garcinia bancana MIQ
C00003749 | Garcinia vilersiana
C00003755 | Garcinia multiflora
C00003817 | Garcinia dulcis
C00003821 | Garcinia kola
C00004247 | Garcinia andamanica
C00004579 | Garcinia kola
C00004642 | Garcinia dulcis
C00005140 | Garcinia bancana MIQ
C00005184 | Garcinia dulcis
C00005189 | Garcinia dulcis
C00005372 | Garcinia dulcis
C00006095 | Garcinia epunctata
C00006417 | Garcinia spicata
C00006431 | Garcinia dulcis
C00006431 | Garcinia xanthochymus
C00006432 | Garcinia dulcis
C00006432 | Garcinia echinocarpa
C00006432 | Garcinia indica
C00006432 | Garcinia livingstonei
C00006432 | Garcinia mangostana L.
C00006432 | Garcinia multiflora
C00006432 | Garcinia terpnophylla
C00006432 | Garcinia xanthochymus
C00006433 | Garcinia kola
C00006434 | Garcinia multiflora
C00006434 | Garcinia spicata
C00006435 | Garcinia dulcis
C00006435 | Garcinia indica
C00006435 | Garcinia livingstonei
C00006435 | Garcinia morella
C00006435 | Garcinia multiflora
C00006435 | Garcinia scortechinii
C00006435 | Garcinia spicata
C00006436 | Garcinia spicata
C00006437 | Garcinia dulcis
C00006437 | Garcinia multiflora
C00006437 | Garcinia spicata
C00006437 | Garcinia xanthochymus
C00006438 | Garcinia nervosa
C00006439 | Garcinia buchananii
C00006439 | Garcinia eugenifolia
C00006440 | Garcinia multiflora
C00006441 | Garcinia buchananii
C00006441 | Garcinia eugeniifolia
C00006441 | Garcinia kola
C00006442 | Garcinia buchananii
C00006442 | Garcinia dulcis
C00006442 | Garcinia eugeniifolia
C00006442 | Garcinia multiflora
C00006443 | Garcinia buchananii
C00006443 | Garcinia eugeniifolia
C00006444 | Garcinia dulcis
C00006444 | Garcinia multiflora
C00006444 | Garcinia xanthochymus
C00006445 | Garcinia kola
C00006490 | Garcinia dulcis
C00006490 | Garcinia livingstonii
C00006657 | Garcinia indica
C00006672 | Garcinia mangostana L.
C00008703 | Garcinia mangostana
C00009076 | Garcinia mangostana
C00009277 | Garcinia mangostana
C00009463 | Garcinia nervosa
C00009485 | Garcinia nervosa
C00009513 | Garcinia dulcis
C00009515 | Garcinia dulcis
C00010270 | Garcinia spicata
C00010275 | Garcinia andamanica
C00014041 | Garcinia dulcis
C00014425 | Garcinia nervosa
C00019046 | Garcinia dulcis
C00019064 | Garcinia vilersiana
C00019308 | Garcinia griffithii
C00019619 | Garcinia nervosa
C00024641 | Garcinia lucida
C00029358 | Garcinia cowa
C00029379 | Garcinia mangostana
C00029431 | Garcinia multiflora
C00029600 | Garcinia dulcis
C00029600 | Garcinia mangostana
C00029600 | Garcinia merguensis
C00029600 | Garcinia nigrolineata
C00029600 | Garcinia speciosa
C00029645 | Garcinia afzelii ENGL.
C00029646 | Garcinia afzelii ENGL.
C00029819 | Garcinia cowa
C00029819 | Garcinia dulcis
C00029819 | Garcinia fusca
C00029819 | Garcinia mangostana
C00029821 | Garcinia multiflora
C00029849 | Garcinia brevipedicellata
C00029850 | Garcinia brevipedicellata
C00029851 | Garcinia brevipedicellata
C00029852 | Garcinia brevipedicellata
C00029900 | Garcinia cornea
C00030036 | Garcinia lancilimba
C00030107 | Garcinia mangostana
C00030118 | Garcinia hanburyi
C00030120 | Garcinia hanburyi
C00030121 | Garcinia hanburyi
C00030161 | Garcinia cowa
C00030161 | Garcinia nigrolineata
C00030162 | Garcinia dulcis
C00030162 | Garcinia lancilimba
C00030342 | Garcinia hanburyi
C00030343 | Garcinia hanburyi
C00030344 | Garcinia hanburyi
C00030348 | Garcinia mangostana
C00030355 | Garcinia mangostana
C00030356 | Garcinia dulcis
C00030356 | Garcinia mangostana
C00030357 | Garcinia mangostana
C00030358 | Garcinia dulcis
C00030358 | Garcinia mangostana
C00030359 | Garcinia mangostana
C00030362 | Garcinia hanburyi
C00030528 | Garcinia hanburyi
C00030529 | Garcinia hanburyi
C00030538 | Garcinia hanburyi
C00030538 | Garcinia morella
C00030539 | Garcinia hanburyi
C00030721 | Garcinia cowa
C00030721 | Garcinia mangostana
C00030722 | Garcinia mangostana
C00030723 | Garcinia mangostana
C00030724 | Garcinia mangostana
C00030725 | Garcinia mangostana
C00030726 | Garcinia cowa
C00030726 | Garcinia mangostana
C00030793 | Garcinia hanburyi
C00030793 | Garcinia morella
C00030834 | Garcinia cowa
C00030834 | Garcinia fusca
C00030932 | Garcinia lancilimba
C00031249 | Garcinia cowa
C00031249 | Garcinia fusca
C00031249 | Garcinia nervosa
C00031249 | Garcinia pyrifera
C00031484 | Garcinia griffithii
C00031484 | Garcinia polyantha Oliv.
C00031487 | Garcinia griffithii
C00031806 | Garcinia subelliptica
C00031806 | Garcinia xanthochymus
C00031845 | Garcinia hanburyi
C00031902 | Garcinia bancana MIQ
C00031902 | Garcinia cambogia
C00031902 | Garcinia dulcis
C00031902 | Garcinia griffithii
C00031908 | Garcinia hanburyi
C00032000 | Garcinia mangostana
C00032031 | Garcinia hanburyi
C00032355 | Garcinia mangostana
C00032366 | Garcinia dulcis
C00032366 | Garcinia mangostana
C00032366 | Garcinia nigrolineata
C00032367 | Garcinia mangostana
C00032580 | Garcinia nigrolineata
C00032586 | Garcinia dulcis
C00033456 | Garcinia subelliptica Merr.
C00033514 | Garcinia mangostana
C00033518 | Garcinia linii
C00033518 | Garcinia polyantha Oliv.
C00033518 | Garcinia spp.
C00033519 | Garcinia polyantha Oliv.
C00033578 | Garcinia mangostana
C00033853 | Garcinia subelliptica Merr.
C00033854 | Garcinia subelliptica Merr.
C00033855 | Garcinia subelliptica Merr.
C00033856 | Garcinia subelliptica Merr.
C00033857 | Garcinia subelliptica Merr.
C00033898 | Garcinia dulcis
C00033898 | Garcinia pyrifera
C00033898 | Garcinia xanthochymus
C00034159 | Garcinia polyantha Oliv.
C00034160 | Garcinia polyantha Oliv.
C00034161 | Garcinia polyantha Oliv.
C00034173 | Garcinia subelliptica Merr.
C00034759 | Garcinia cowa
C00034759 | Garcinia dulcis
C00034764 | Garcinia dulcis
C00034764 | Garcinia mangostana
C00034776 | Garcinia cowa
C00034776 | Garcinia mangostana
C00034778 | Garcinia cowa
C00034808 | Garcinia dulcis
C00034808 | Garcinia mangostana
C00034821 | Garcinia cowa
C00034821 | Garcinia dulcis
C00034821 | Garcinia fusca
C00034822 | Garcinia cowa
C00034822 | Garcinia fusca
C00034823 | Garcinia cowa
C00034823 | Garcinia dulcis
C00034823 | Garcinia fusca
C00034824 | Garcinia cowa
C00034825 | Garcinia cowa
C00034826 | Garcinia cowa
C00034827 | Garcinia cowa
C00034827 | Garcinia dulcis
C00034828 | Garcinia cowa
C00034835 | Garcinia dulcis
C00034836 | Garcinia dulcis
C00034837 | Garcinia dulcis
C00034837 | Garcinia mangostana
C00034838 | Garcinia dulcis
C00034845 | Garcinia cowa
C00034845 | Garcinia fusca
C00034845 | Garcinia mangostana
C00034855 | Garcinia livingstonei
C00034875 | Garcinia dulcis
C00034889 | Garcinia cambogia
C00034889 | Garcinia dulcis
C00034889 | Garcinia merguensis
C00034889 | Garcinia nigrolineata
C00034889 | Garcinia oblongifolia
C00034889 | Garcinia staudtii
C00034926 | Garcinia merguensis
C00035077 | Garcinia multiflora
C00035189 | Garcinia mangostana
C00035249 | Garcinia polyantha Oliv.
C00035250 | Garcinia polyantha Oliv.
C00035255 | Garcinia dulcis
C00035277 | Garcinia cowa
C00035279 | Garcinia cowa
C00035280 | Garcinia cowa
C00035281 | Garcinia dulcis
C00035295 | Garcinia dulcis
C00035296 | Garcinia dulcis
C00035297 | Garcinia dulcis
C00035298 | Garcinia dulcis
C00035299 | Garcinia dulcis
C00035299 | Garcinia mangostana
C00035323 | Garcinia griffithii
C00035328 | Garcinia dulcis
C00035339 | Garcinia dulcis
C00035339 | Garcinia mangostana
C00035788 | Garcinia virgata
C00035833 | Garcinia griffithii
C00035833 | Garcinia virgata
C00035895 | Garcinia virgata
C00036131 | Garcinia nigrolineata
C00036164 | Garcinia nigrolineata
C00036176 | Garcinia nigrolineata
C00036177 | Garcinia nigrolineata
C00036178 | Garcinia nigrolineata
C00036179 | Garcinia nigrolineata
C00036180 | Garcinia nigrolineata
C00036181 | Garcinia nigrolineata
C00036182 | Garcinia nigrolineata
C00036183 | Garcinia nigrolineata
C00036184 | Garcinia nigrolineata
C00036232 | Garcinia nigrolineata
C00036324 | Garcinia mangostana
C00036325 | Garcinia mangostana
C00036371 | Garcinia subelliptica
C00036374 | Garcinia merguensis
C00036389 | Garcinia mangostana
C00036405 | Garcinia vilersiana
C00036438 | Garcinia mangostana
C00036442 | Garcinia subelliptica
C00036445 | Garcinia vilersiana
C00036466 | Garcinia subelliptica
C00036520 | Garcinia oblongifolia
C00036840 | Garcinia mangostana
C00037076 | Garcinia dulcis
C00037077 | Garcinia dulcis
C00037078 | Garcinia dulcis
C00037159 | Garcinia forbesii
C00037159 | Garcinia nigrolineata
C00037184 | Garcinia linii
C00037186 | Garcinia vilersiana
C00037192 | Garcinia mangostana
C00037326 | Garcinia nervosa
C00037326 | Garcinia polyantha
C00037326 | Garcinia pyrifera
C00037327 | Garcinia nervosa
C00037327 | Garcinia polyantha
C00037327 | Garcinia pyrifera
C00037343 | Garcinia polyantha
C00037494 | Garcinia merguensis
C00037517 | Garcinia merguensis
C00037532 | Garcinia pseudoguttifera
C00037549 | Garcinia nervosa
C00037549 | Garcinia polyantha
C00037549 | Garcinia pyrifera
C00037695 | Garcinia pseudoguttifera
C00037708 | Garcinia densivenia
C00037708 | Garcinia forbesii
C00037728 | Garcinia merguensis
