
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "hyperic_2D_tagged.sdf" "4" "3d" 
Duration: 12567
0 0 108.1
0 1 165.9
0 2 107.8
0 3 135.3
0 4 108.44546
0 5 164.4
0 7 186.78
0 9 114.57
0 10 132.44
0 11 182.82272
0 13 119.55
0 14 147.29
0 15 124.09
0 16 161.71
0 18 21.38
1 0 100.9
1 1 164.3
1 2 107.1
1 3 144.4
1 4 108.0
1 5 164.2
1 7 187.77037
1 9 111.9
1 10 135.42876
1 11 33.366665
1 12 125.8375
1 13 141.4741
1 14 122.84885
1 15 161.90282
1 17 21.529535
2 0 108.1
2 1 147.1
2 2 147.2
2 3 106.5
2 4 135.0
2 5 119.5
2 6 85.4
2 8 71.52857
2 9 54.228573
2 10 54.228573
2 11 71.52857
2 13 85.4
2 14 135.0
2 15 119.5
2 16 108.1
2 17 147.1
2 18 147.2
2 19 106.5
2 21 101.0
2 24 101.0
3 0 121.0
3 1 116.275
3 2 149.0
3 3 145.74
3 4 114.3
3 5 125.9
3 6 144.6
3 7 115.0
3 8 168.25
4 0 157.96666
4 1 96.1
4 2 157.2
4 3 100.6
4 4 156.9
4 5 95.4
4 7 82.7
4 8 68.3
4 9 28.8
4 11 131.6
4 12 115.0
4 13 145.605
4 14 145.805
4 15 115.715
4 16 119.0
5 0 164.6
5 1 99.0
5 2 161.4
5 3 104.84615
5 4 158.83076
5 5 95.00769
5 7 161.675
5 8 104.1
5 9 182.60834
5 11 123.69865
5 12 127.98287
5 13 124.44103
5 14 152.28316
5 15 114.14503
5 16 126.18489
5 18 114.316666
5 19 154.155
5 20 103.01818
5 21 160.42728
5 22 104.60555
5 23 153.89711
5 25 164.1909
5 26 103.7
5 27 182.55556
5 29 121.34286
5 30 128.6
5 31 115.9
5 32 161.4
5 33 115.9
5 34 128.6
6 0 164.18
6 1 99.1825
6 2 161.8475
6 3 105.33923
6 4 157.05
6 5 94.01875
6 7 146.6
6 8 136.6
6 9 175.26364
6 12 120.3
6 13 109.0
6 14 146.9
6 15 138.0
6 16 146.9
6 17 109.0
7 0 73.8
7 1 69.3
7 2 33.1
7 3 132.5
7 4 140.0
7 5 68.5
7 7 172.9
8 0 13.97
8 1 22.15
8 2 32.043335
8 3 28.72
8 4 29.04
8 5 29.075
8 6 29.42
8 7 29.505
8 8 29.505
8 9 29.505
8 10 29.505
8 11 29.505
8 12 29.505
8 13 29.505
8 14 29.505
8 15 29.505
8 16 29.505
8 17 29.505
8 18 29.505
8 19 29.505
8 20 29.505
8 21 29.505
8 22 29.505
8 23 29.505
8 24 29.42
8 25 29.075
8 26 29.04
8 27 28.72
8 28 32.043335
8 29 22.15
8 30 13.97
9 0 146.4
9 1 110.05
9 2 107.8
9 3 126.8
9 4 123.4
9 5 98.2
9 6 111.96507
9 7 121.774605
9 9 29.6
9 10 42.7
10 0 119.215385
10 1 120.2375
10 2 111.19538
10 3 136.3
10 4 127.4
10 5 118.1
10 6 112.6
10 7 122.5
10 9 29.6
10 10 42.7
11 0 161.24286
11 1 110.287346
11 2 40.17
11 3 116.90897
11 4 186.02
11 5 39.323273
11 6 186.02
11 7 117.07273
11 8 183.73334
11 10 194.88481
11 12 41.2
11 13 17.7
