C00002949 | Cratoxylum formosanum
C00002949 | Cratoxylum maingayi
C00002961 | Cratoxylum cochinchinense (Lour.) Blume
C00002961 | Cratoxylum formosum
C00002963 | Cratoxylum cochinchinense
C00002968 | Cratoxylum formosum ssp.pruniflorum
C00002968 | Cratoxylum prumiflorum
C00002968 | Cratoxylum pruniflorum
C00002968 | Cratoxylum prunifolium
C00005372 | Cratoxylum formosum ssp.pruniflorum
C00005374 | Cratoxylum formosum ssp.pruniflorum
C00029359 | Cratoxylum cochinchinense
C00029379 | Cratoxylum cochinchinense
C00029569 | Cratoxylum cochinchinense
C00029819 | Cratoxylum cochinchinense
C00029920 | Cratoxylum celebicum
C00029920 | Cratoxylum cochinchinense
C00029995 | Cratoxylum cochinchinense
C00029996 | Cratoxylum cochinchinense
C00030356 | Cratoxylum cochinchinense (Lour.) Blume
C00030358 | Cratoxylum cochinchinense (Lour.) Blume
C00032493 | Cratoxylum formosum
C00032517 | Cratoxylum formosum
C00034819 | Cratoxylum cochinchinense (Lour.) Blume
C00034820 | Cratoxylum cochinchinense (Lour.) Blume
C00034842 | Cratoxylum formosum
C00034843 | Cratoxylum formosum
C00034844 | Cratoxylum formosum
C00034872 | Cratoxylum formosum
C00035077 | Cratoxylum sumatranum
C00035281 | Cratoxylum cochinchinense
C00036394 | Cratoxylum formosanum
C00036394 | Cratoxylum maingayi
C00036468 | Cratoxylum formosanum
C00036527 | Cratoxylum formosanum
C00036594 | Cratoxylum cochinchinense
C00040749 | Cratoxylum cochinchinense
C00040795 | Cratoxylum formosanum
C00040795 | Cratoxylum maingayi
C00041015 | Cratoxylum formosum ssp.pruniflorum
C00044660 | Cratoxylum sumatranum
C00044661 | Cratoxylum sumatranum
C00044662 | Cratoxylum sumatranum
C00044663 | Cratoxylum sumatranum
C00044664 | Cratoxylum sumatranum
C00044665 | Cratoxylum sumatranum
C00044666 | Cratoxylum sumatranum
C00044667 | Cratoxylum sumatranum
C00045136 | Cratoxylum sumatranum
C00000555 | Hypericum sampsonii
C00000569 | Hypericum perforatum
C00000615 | Hypericum laricifolium
C00000956 | Hypericum perforatum
C00001015 | Hypericum perforatum
C00001071 | Hypericum hirsutum
C00001071 | Hypericum scabrum
C00001203 | Hypericum beanii
C00001429 | Hypericum perforatum
C00001434 | Hypericum perforatum
C00002425 | Hypericum drummondii
C00002460 | Hypericum japonicum
C00002526 | Hypericum scabrum
C00002724 | Hypericum perforatum
C00002829 | Hypericum barbatum Jacq.
C00002829 | Hypericum erectum
C00002829 | Hypericum faberi
C00002829 | Hypericum hirsutum L.
C00002829 | Hypericum linarioides BOSSE
C00002829 | Hypericum maculatum Crantz
C00002829 | Hypericum perforatum
C00002829 | Hypericum rumeliacum BOISS.
C00002829 | Hypericum sampsonii
C00002829 | Hypericum spp.
C00002829 | Hypericum tetrapterum Fries
C00002829 | Hypericum wightianum
C00002855 | Hypericum barbatum Jacq.
C00002855 | Hypericum maculatum Crantz
C00002855 | Hypericum perforatum
C00002855 | Hypericum rumeliacum BOISS.
C00002855 | Hypericum tetrapterum Fries
C00002855 | Hypericum triquetrifolium
C00002949 | Hypericum ascyron
C00002949 | Hypericum beanii
C00002949 | Hypericum chinense
C00002949 | Hypericum geminiflorum
C00002949 | Hypericum henryi
C00002949 | Hypericum scabrum
C00002953 | Hypericum degenii
C00002962 | Hypericum ancherii
C00002962 | Hypericum sampsonii
C00002962 | Hypericum spp.
C00002968 | Hypericum androsaemum
C00002968 | Hypericum aucheri
C00002968 | Hypericum chinense
C00002968 | Hypericum perforatum L.
C00002968 | Hypericum sampsonii
C00002997 | Hypericum ascyron
C00002997 | Hypericum calycinum
C00002997 | Hypericum calycunum
C00003017 | Hypericum japonicum
C00003647 | Hypericum carinatum
C00003672 | Hypericum carinatum
C00003672 | Hypericum japonicum
C00003674 | Hypericum beanii
C00003674 | Hypericum carinatum
C00003866 | Hypericum perforatum
C00003986 | Hypericum ericoides
C00004261 | Hypericum perforatum var.angustifolium
C00004273 | Hypericum erectum Thunb.
C00004273 | Hypericum perforatum var.angustifolium
C00004276 | Hypericum erectum Thunb.
C00004565 | Hypericum ascyron
C00004565 | Hypericum japonicum
C00004565 | Hypericum sampsonii
C00004631 | Hypericum perforatum
C00004631 | Hypericum perforatum var.angustifolium
C00004631 | Hypericum sampsonii
C00004958 | Hypericum elodes
C00005080 | Hypericum japonicum
C00005137 | Hypericum erectum Thunb.
C00005138 | Hypericum erectum Thunb.
C00005138 | Hypericum sampsonii
C00005157 | Hypericum spp.
C00005367 | Hypericum scabrum
C00005368 | Hypericum erectum Thunb.
