
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "lamiac_2D_tagged.sdf" "4" "3d" 
Duration: 48009
0 0 69.678665
0 1 76.5
0 2 74.0
0 3 101.9
0 5 77.4
0 6 60.811428
0 9 133.965
0 10 153.26
0 11 104.955
0 12 134.065
0 13 104.955
0 14 153.26
0 16 56.455
0 17 130.13455
0 18 129.448
0 19 62.536842
0 22 56.455
1 0 30.04
1 1 27.16
1 2 43.106667
1 3 43.166668
1 4 217.67334
1 6 57.413334
1 7 46.666668
1 8 19.4
1 9 19.4
1 10 9.386666
2 0 131.8
2 1 125.03333
2 2 26.366667
2 3 43.65
2 4 35.18416
2 5 78.48387
2 7 85.37059
2 8 19.2
2 9 69.7
2 11 20.8
3 0 34.578712
3 1 74.73014
3 2 29.9
3 3 55.73
3 4 30.742857
3 5 147.08182
3 6 114.1
3 7 30.675
3 8 28.0
3 9 28.7
3 10 22.7
3 11 19.233334
3 12 22.01
3 13 22.01
3 15 26.024286
4 0 115.95
4 1 159.61667
4 2 115.95
4 3 130.0
4 4 125.2
4 5 130.0
4 6 144.2
4 7 115.4
4 8 167.65
5 0 38.8
5 1 26.935272
5 2 42.3
5 3 136.69815
5 4 135.1
5 5 69.7
5 7 28.0
5 8 31.4
5 9 19.45
5 10 19.45
6 0 38.8
6 1 26.935272
6 2 42.3
6 3 136.69815
6 4 135.1
6 5 69.7
6 7 28.0
6 8 31.4
6 9 19.45
6 10 19.45
7 0 121.942856
7 1 126.3
7 2 131.78572
7 3 152.5
7 4 116.34286
7 5 136.55714
7 6 20.8
7 8 26.7
7 9 22.7
7 10 22.7
8 0 131.05714
8 1 119.1
8 2 148.4
8 3 113.5
8 4 153.44286
8 5 121.557144
8 6 15.4
8 8 33.7
8 9 23.9
8 10 23.9
9 0 22.571428
9 1 121.32727
9 2 131.8
9 3 47.838154
9 4 34.7625
9 5 28.9
9 6 41.1
9 7 22.4
9 8 49.4
9 9 25.0
9 10 72.7
9 11 27.0
9 12 27.0
9 14 22.97963
9 15 20.7
10 0 23.5
10 1 36.9
10 2 150.9
10 3 105.3
10 4 49.8
10 5 35.8
10 6 41.9
10 7 41.1
10 8 22.4
10 9 49.4
10 10 25.0
10 11 72.7
10 12 27.0
10 13 27.0
10 15 16.3
11 0 18.8
11 1 33.033333
11 2 129.114
11 3 140.39278
11 4 35.0
11 5 38.24
11 6 42.1
11 7 23.0
11 8 50.1
11 9 26.7
11 10 72.7
11 11 27.0
11 12 27.0
11 14 23.0
11 15 20.358
12 0 34.1
12 1 36.7
12 2 121.1
12 3 145.1
12 4 33.1
12 5 21.6
12 6 16.2
12 7 31.6
12 8 20.0
12 9 20.0
13 0 131.7
13 1 120.3
13 2 136.7
13 3 118.4
13 4 162.9
13 5 114.4
13 6 173.6
14 0 123.3
14 1 153.57053
14 3 150.7688
14 4 127.2
14 5 145.6
14 6 166.2
15 0 35.2
15 1 27.35
15 2 41.19208
15 3 47.542107
15 4 217.0
15 6 30.897356
15 7 127.625
15 8 133.4943
15 9 20.707407
15 10 14.337037
15 11 35.90517
15 12 173.52422
15 15 52.017895
16 0 36.0
16 1 47.1
16 2 97.9
16 4 151.71428
16 5 110.295
16 6 168.185
16 9 51.525
16 11 97.9
16 12 74.39333
16 13 77.78806
16 14 69.666664
16 15 78.13677
16 17 62.5
16 22 145.3
16 23 126.9
16 24 39.3
16 25 60.8
17 0 29.8
17 1 31.2
17 2 32.0
17 3 52.861057
17 4 79.18
17 5 15.6
17 7 82.53813
17 8 55.902767
17 9 46.34655
17 10 41.052143
17 11 34.658546
17 12 28.348646
17 13 200.44409
17 15 122.62395
17 16 173.5
17 18 93.8
17 19 51.635715
17 20 40.2125
17 21 48.117653
17 22 135.22333
17 23 126.67448
17 24 35.6775
17 25 22.416666
17 26 27.0
17 27 27.0
17 28 24.357143
17 29 20.328571
17 30 20.328571
17 31 28.65
17 32 28.65
18 0 124.095
18 1 137.42
18 2 119.43
18 3 133.22
18 4 116.01
18 5 161.43
18 7 191.74
18 9 114.57
18 10 132.44
18 11 181.25285
18 13 120.085
