C00000984 | Acinos suaveolens
C00000995 | Acinos spp.
C00003892 | Acinos alpinus
C00003892 | Acinos suaveolens
C00003931 | Acinos alpinus
C00003931 | Acinos suaveolens
C00008223 | Acinos alpinus
C00008224 | Acinos thymoides
C00008684 | Acinos alpinus
C00000904 | Aeollanthus rydingianus
C00036174 | Aeollanthus buchnerianus
C00036175 | Aeollanthus buchnerianus
C00048284 | Aeollanthus rydingianus
C00048309 | Aeollanthus rydingianus
C00000805 | Agastache rugosus
C00000816 | Agastache rugosus
C00001036 | Agastache aurantiaca
C00002636 | Agastache rugosa
C00002636 | Agastache rugosus
C00002740 | Agastache foenicula
C00002740 | Agastache rugosa
C00002740 | Agastache rugosus
C00002757 | Agastache rugosa
C00002757 | Agastache rugosus
C00003040 | Agastache rugosus
C00003047 | Agastache rugosus
C00004208 | Agastache rugosa
C00004208 | Agastache rugosus
C00004214 | Agastache rugosa
C00004245 | Agastache rugosa
C00004646 | Agastache rugosa
C00004646 | Agastache rugosus
C00004653 | Agastache rugosus
C00006774 | Agastache aurantiaca
C00006777 | Agastache aurantiaca
C00006778 | Agastache aurantiaca
C00006824 | Agastache aurantiaca
C00006827 | Agastache aurantiaca
C00010868 | Agastache rugosus
C00010946 | Agastache formosanum
C00013313 | Agastache barberi
C00019064 | Agastache rugosus
C00034765 | Agastache rugosus
C00035495 | Agastache rugosus
C00045218 | Agastache rugosa
C00045219 | Agastache rugosa
C00000208 | Ajuga taiwanensis
C00000674 | Ajuga decumbens
C00001133 | Ajuga nipponensis
C00001151 | Ajuga reptans
C00002682 | Ajuga taiwanensis
C00002743 | Ajuga iva
C00003400 | Ajuga remota
C00003642 | Ajuga chamaepitys
C00003642 | Ajuga reptans
C00003642 | Ajuga taiwanensis
C00003642 | Ajuga turkestanica
C00003649 | Ajuga chamaepitys
C00003649 | Ajuga decumbens
C00003649 | Ajuga reptans
C00003649 | Ajuga taiwanensis
C00003649 | Ajuga turkestanica
C00003654 | Ajuga turkestanica
C00003660 | Ajuga chamaepitys
C00003666 | Ajuga decumbens
C00003666 | Ajuga reptans
C00003672 | Ajuga taiwanensis
C00003674 | Ajuga taiwanensis
C00004565 | Ajuga taiwanensis
C00005140 | Ajuga remota
C00005373 | Ajuga remota
C00005413 | Ajuga remota
C00006674 | Ajuga reptans
C00006716 | Ajuga reptans
C00006852 | Ajuga reptans
C00006887 | Ajuga genevensis
C00006892 | Ajuga reptans
C00007452 | Ajuga reptans
C00010480 | Ajuga taiwanensis
C00010569 | Ajuga pyramidalis
C00010569 | Ajuga reptans
C00010569 | Ajuga taiwanensis
C00010570 | Ajuga decumbens
C00010570 | Ajuga pyramidalis
C00010570 | Ajuga remota
C00010570 | Ajuga reptans
C00010570 | Ajuga taiwanensis
C00010573 | Ajuga decumbens
C00010573 | Ajuga reptans
C00010600 | Ajuga reptans
C00010601 | Ajuga reptans
C00010717 | Ajuga taiwanensis
C00010717 | Ajuga tawanensis
C00014786 | Ajuga reptans
C00014787 | Ajuga reptans
C00014817 | Ajuga reptans
C00019144 | Ajuga decumbens
C00021691 | Ajuga decumbens
C00021692 | Ajuga decumbens
C00021693 | Ajuga decumbens
C00021694 | Ajuga decumbens
C00030990 | Ajuga taiwanensis
C00030991 | Ajuga taiwanensis
C00031581 | Ajuga taiwanensis
C00031582 | Ajuga taiwanensis
C00031583 | Ajuga taiwanensis
C00031584 | Ajuga taiwanensis
C00031585 | Ajuga taiwanensis
C00031586 | Ajuga taiwanensis
C00031587 | Ajuga taiwanensis
C00031588 | Ajuga taiwanensis
C00031628 | Ajuga taiwanensis
C00031896 | Ajuga taiwanensis
C00035040 | Ajuga remota
C00038394 | Ajuga decumbens
C00038395 | Ajuga parviflora
C00038396 | Ajuga parviflora
C00039339 | Ajuga pseudoiva
C00039340 | Ajuga pseudoiva
C00039341 | Ajuga pseudoiva
C00039668 | Ajuga pseudoiva
C00040864 | Ajuga reptans
C00040865 | Ajuga reptans
C00040866 | Ajuga reptans
C00040876 | Ajuga reptans
C00040877 | Ajuga reptans
C00041214 | Ajuga turkestanica
C00044510 | Ajuga salicifolia
C00044511 | Ajuga salicifolia
C00044512 | Ajuga salicifolia
C00044513 | Ajuga salicifolia
C00045196 | Ajuga pseudoiva
C00049069 | Ajuga reptans
C00049102 | Ajuga pyramidalis
C00049420 | Ajuga parviflora
C00049421 | Ajuga parviflora
C00049632 | Ajuga decumbens
C00000856 | Anisomeles indica
C00001211 | Anisomeles indica
C00001223 | Anisomeles indica
C00001233 | Anisomeles indica
C00001238 | Anisomeles indica
C00003672 | Anisomeles indica
C00003674 | Anisomeles indica
C00003817 | Anisomeles indica
C00003889 | Anisomeles ovata
C00004185 | Anisomeles ovata
C00004186 | Anisomeles indica
C00004186 | Anisomeles ovata
C00004187 | Anisomeles ovata
C00008211 | Anisomeles indica
C00008211 | Anisomeles ovata
C00008213 | Anisomeles ovata
C00029724 | Anisomeles indica
C00030459 | Anisomeles indica
C00030742 | Anisomeles indica
C00032012 | Anisomeles indica
C00039908 | Anisomeles evindica
C00039908 | Anisomeles indica
C00039908 | Anisomeles malabarica
C00039908 | Anisomeles ovata
C00001017 | Ballota foetida
C00003672 | Ballota limbata
C00003738 | Ballota limbata
C00003839 | Ballota hirsuta
C00006229 | Ballota foetida
C00013678 | Ballota acetabulosa
C00019064 | Ballota limbata
C00022268 | Ballota hispanica
C00022287 | Ballota nigra
C00022287 | Ballota rupestris
C00022288 | Ballota rupestris
C00022289 | Ballota acetabulosa
C00022390 | Ballota nigra
C00022391 | Ballota nigra
C00022394 | Ballota nigra
C00022429 | Ballota rupestris
C00022433 | Ballota lanata
C00031621 | Ballota limbata
C00013313 | Becium grandiflorum
C00013703 | Becium grandiflorum
C00040895 | Becium grandiflorum var.obovatum
C00040896 | Becium grandiflorum var.obovatum
C00010958 | Bystropogon mollis
C00000823 | Calamintha nepeta subsp.glandulosa.
C00000995 | Calamintha nepeta
C00003044 | Calamintha ashei
C00003892 | Calamintha nepeta
C00003895 | Calamintha nepeta
C00003931 | Calamintha nepeta
C00003931 | Calamintha sylvatica
C00005621 | Calamintha grandiflora
C00010830 | Calamintha nepeta subsp.glandulosa.
C00010841 | Calamintha ashei
C00010842 | Calamintha ashei
C00010889 | Calamintha nepeta subsp.glandulosa.
C00013630 | Calamintha grandiflora
C00000149 | Callicarpa americana
C00000149 | Callicarpa japonica
C00000153 | Callicarpa americana
C00000206 | Callicarpa integerrima
C00001238 | Callicarpa pilosissima
C00002674 | Callicarpa integerrima
C00002682 | Callicarpa integerrima
C00002783 | Callicarpa formosana
C00003147 | Callicarpa americana
C00003147 | Callicarpa japonica
C00003408 | Callicarpa candicans
C00003672 | Callicarpa arborea
C00003672 | Callicarpa integerrima
C00003672 | Callicarpa macrophylla
C00003672 | Callicarpa pilosissima
C00003674 | Callicarpa pilosissima
C00003738 | Callicarpa arborea
C00003750 | Callicarpa arborea
C00003755 | Callicarpa pilosissima
C00003808 | Callicarpa japonica
C00003820 | Callicarpa pilosissima
C00003841 | Callicarpa japonica
C00004145 | Callicarpa japonica Thunb.var.luxurians Rehd.
C00004603 | Callicarpa pilosissima
C00004655 | Callicarpa formosana
C00004705 | Callicarpa pilosissima
C00004712 | Callicarpa pilosissima
C00004713 | Callicarpa pilosissima
