C00006925 | Agapanthus africanus
C00014801 | Agapanthus praecox
C00014802 | Agapanthus praecox
C00000001 | Allium cepa
C00000004 | Allium cepa
C00000008 | Allium cepa
C00000009 | Allium cepa
C00000012 | Allium cepa
C00000015 | Allium cepa
C00000020 | Allium cepa
C00000034 | Allium cepa
C00000044 | Allium cepa
C00000051 | Allium cepa
C00000212 | Allium spp.
C00000218 | Allium cepa
C00000747 | Allium cepa
C00000845 | Allium sativum
C00001165 | Allium tuberosum Rottl.ex Spreng.
C00001242 | Allium cepa
C00001242 | Allium fistulosum
C00001242 | Allium sativum
C00001243 | Allium cepa
C00001243 | Allium sativum
C00001243 | Allium schoenoprasum
C00001243 | Allium tuberosum
C00001243 | Allium ursinum
C00001244 | Allium sativum
C00001244 | Allium spp
C00001244 | Allium spp.
C00001245 | Allium cepa
C00001245 | Allium sativum
C00001245 | Allium spp.
C00001245 | Allium ursinum
C00001246 | Allium cepa
C00001246 | Allium sativum
C00001246 | Allium ursinum
C00001247 | Allium sativum
C00001247 | Allium spp.
C00001257 | Allium sativum
C00001257 | Allium spp.
C00001257 | Allium tuberosum
C00001257 | Allium victorialis
C00001266 | Allium cepa
C00001267 | Allium ampeloprasum
C00001267 | Allium cepa
C00001267 | Allium ssp.
C00001336 | Allium cepa
C00001336 | Allium sativum
C00001389 | Allium cepa
C00001397 | Allium tuberosum Rottl.ex Spreng.
C00001435 | Allium victorialis
C00001495 | Allium cepa
C00001701 | Allium neapolitanum
C00002374 | Allium cepa
C00002374 | Allium sativum
C00002374 | Allium schoenoprasum
C00002374 | Allium spp.
C00002374 | Allium victorialis
C00002378 | Allium cepa
C00002631 | Allium tuberosum
C00002646 | Allium spp.
C00002665 | Allium cepa
C00002689 | Allium cepa
C00002743 | Allium cepa
C00002776 | Allium cepa
C00003571 | Allium vineale
C00003575 | Allium ampeloprasum
C00003593 | Allium albanum
C00003593 | Allium rubellum
C00004631 | Allium cepa
C00005138 | Allium porrum L.
C00005152 | Allium cepa
C00005165 | Allium tuberosum
C00005194 | Allium tuberosum
C00005194 | Allium victorialis
C00005231 | Allium cepa
C00005374 | Allium cepa
C00005387 | Allium cepa
C00005436 | Allium cepa
C00005436 | Allium tuberosum
C00005438 | Allium cepa
C00005464 | Allium cepa
C00005466 | Allium cepa
C00005486 | Allium cepa
C00005532 | Allium sp.
C00005561 | Allium cepa
C00005915 | Allium tuberosum
C00005919 | Allium ursinum
C00005920 | Allium ursinum
C00005924 | Allium tuberosum
C00005925 | Allium tuberosum
C00005926 | Allium ursinum
C00006016 | Allium neapolitanum
C00006654 | Allium cepa
C00006659 | Allium cepa
C00006669 | Allium cepa
C00006679 | Allium cepa
C00006793 | Allium schoenoprasum
C00006795 | Allium sativum
C00006795 | Allium victorialis
C00006796 | Allium sativum
C00006796 | Allium schoenoprasum
C00006796 | Allium victorialis
C00006799 | Allium sativum
C00006799 | Allium schoenoprasum
C00006799 | Allium victorialis
C00006804 | Allium cepa
C00006866 | Allium cepa
C00006925 | Allium ascalonicum
C00006925 | Allium chinense
C00007184 | Allium chinense
C00007444 | Allium tuberosum Rottl.ex Spreng.
C00007468 | Allium tuberosum Rottl.ex Spreng.
C00011093 | Allium cepa
C00011094 | Allium cepa
C00013749 | Allium neapolitanum
C00013751 | Allium neapolitanum
C00013781 | Allium porrum
C00013916 | Allium neapolitanum
C00013918 | Allium neapolitanum
C00014773 | Allium cepa
C00014775 | Allium cepa
C00014865 | Allium schoenoprasum
C00014866 | Allium schoenoprasum
C00019064 | Allium cepa
C00019692 | Allium tuberosum Rottl.ex Spreng.
C00024130 | Allium chinense G.DON
C00024131 | Allium chinense G.DON
C00024132 | Allium chinense G.DON
C00024133 | Allium chinense G.DON
C00026660 | Allium tuberosum
C00027418 | Allium chinense
C00027419 | Allium tuberosum
C00027445 | Allium tuberosum
C00028801 | Allium chinense
C00029547 | Allium cepa
C00030140 | Allium vineale
C00030299 | Allium porrum L.
C00030300 | Allium porrum L.
C00030753 | Allium cepa
C00031541 | Allium tuberosum
C00032012 | Allium cepa
C00032175 | Allium sativum var.sativum
C00032358 | Allium fistulosum
C00033657 | Allium porrum L.
C00033776 | Allium spp.
C00034232 | Allium cepa
C00034232 | Allium sativum
C00034232 | Allium tricoccum
C00034605 | Allium minutiflorum
C00034606 | Allium minutiflorum
C00034649 | Allium cepa
C00035822 | Allium sativum
C00037771 | Allium tuberosum Rottl.ex Spreng.
C00038408 | Allium cepa var.tropeana
C00038666 | Allium cepa var.tropeana
C00040074 | Allium cepa var.tropeana
C00040570 | Allium tuberosum
C00040571 | Allium tuberosum
C00040572 | Allium tuberosum
C00041366 | Allium atroviolaceum
C00044542 | Allium triquetrum
C00044543 | Allium triquetrum
C00045121 | Allium triquetrum
C00045122 | Allium triquetrum
C00045123 | Allium triquetrum
C00045124 | Allium triquetrum
C00045125 | Allium triquetrum
C00045533 | Allium stipitatum
C00048595 | Allium neapolitanum
C00048597 | Allium ampeloprasum
C00048597 | Allium giganteum
C00048597 | Allium leucanthum
C00048937 | Allium victorialis
C00050327 | Allium porrum
C00050386 | Allium giganteum
C00050386 | Allium porrum
C00050386 | Allium turcomanicum
C00050387 | Allium porrum
C00050388 | Allium porrum
C00050397 | Allium porrum
C00050398 | Allium porrum
C00050530 | Allium sativum
C00050680 | Allium cepa
C00050680 | Allium schoenoprasum
C00050736 | Allium macrostemon
C00051222 | Allium chinense
C00051408 | Allium macrostemon
C00051409 | Allium macrostemon
C00051410 | Allium macrostemon
C00051411 | Allium macrostemon
C00051412 | Allium macrostemon
C00051413 | Allium macrostemon
C00051414 | Allium macrostemon
C00051415 | Allium macrostemon
C00051416 | Allium macrostemon
C00051548 | Allium sativum
C00051577 | Allium sativum
C00051577 | Allium schoenoprasum
C00051577 | Allium spp.
C00051718 | Allium sativum
C00051720 | Allium cepa
C00051720 | Allium sativum
C00000001 | Alstroemeria hybrida
C00000004 | Alstroemeria hybrida
C00000008 | Alstroemeria hybrida
C00000015 | Alstroemeria hybrida
C00000019 | Alstroemeria hybrida
C00000020 | Alstroemeria hybrida
C00000029 | Alstroemeria hybrida
C00000034 | Alstroemeria hybrida
C00000044 | Alstroemeria hybrida
C00002376 | Alstroemeria sp.
C00006616 | Alstroemeria spp.
C00006639 | Alstroemeria spp.
C00006694 | Alstroemeria spp.
C00006695 | Alstroemeria aurantiaca
C00006695 | Alstroemeria ligtu
C00006695 | Alstroemeria pulchella
C00006708 | Alstroemeria spp.
C00006752 | Alstroemeria werdermannii
C00006796 | Alstroemeria spp.
C00014757 | Alstroemeria spp.
C00014823 | Alstroemeria spp.
C00014824 | Alstroemeria spp.
C00014844 | Alstroemeria spp.
C00014845 | Alstroemeria spp.
C00001557 | Amaryllis belladonna hybrid
C00001561 | Amaryllis belladonna
C00001562 | Amaryllis belladonna hybrid
C00001565 | Amaryllis belladonna
C00001576 | Amaryllis belladona
C00024364 | Amaryllis belladonna L.
C00024440 | Amaryllis belladonna L.
C00027615 | Amaryllis belladonna
C00050501 | Amaryllis belladonna
C00000302 | Asparagus officinalis
C00000304 | Asparagus officinalis
C00000305 | Asparagus officinalis
C00000306 | Asparagus officinalis
C00000307 | Asparagus officinalis
C00000919 | Asparagus officinalis L.
C00000931 | Asparagus officinalis L.
C00002376 | Asparagus officinalis
C00002460 | Asparagus officinalis
C00002683 | Asparagus spp.
C00002727 | Asparagus spp.
C00002743 | Asparagus officinalis
C00003563 | Asparagus officinalis
C00003582 | Asparagus officinalis
C00003585 | Asparagus dumosus Baker
C00003585 | Asparagus officinalis
C00003590 | Asparagus broussonetii
C00003590 | Asparagus cochinchinensis
C00003590 | Asparagus spp.
C00003591 | Asparagus curillus
