
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "myxococc_2D_tagged.sdf" "4" "3d" 
Duration: 8647
0 0 68.14
0 16 130.535
0 17 17.45
0 18 25.325
0 10 123.66063
0 11 140.03221
0 12 16.279354
0 13 37.576
0 14 26.588888
0 15 124.32727
1 0 130.428
1 1 130.428
1 2 124.49231
1 3 138.75
1 4 40.2
1 5 25.3
1 6 123.749214
1 7 135.19809
1 8 40.1
1 9 26.95
1 10 124.89
1 11 134.2
1 12 39.2
1 13 26.5
1 14 124.025
1 15 130.535
1 16 17.45
1 17 25.325
1 18 15.83
1 19 15.7
1 20 16.45
1 21 124.49231
1 22 138.75
1 23 16.45
1 24 40.2
1 25 25.3
1 26 123.749214
1 27 135.19809
1 28 15.7
1 29 40.1
1 30 26.95
1 31 124.89
1 32 134.2
1 33 15.83
1 34 39.2
1 35 26.5
1 36 124.025
1 37 130.535
1 38 17.45
1 39 25.325
2 0 17.45
2 1 130.535
2 2 122.8
2 3 25.1
2 4 40.2
2 5 138.75
2 6 125.336845
2 7 129.20555
2 8 140.41364
2 9 138.14285
2 10 136.6
2 11 124.5
2 12 138.43889
2 13 137.1309
2 14 134.43546
2 15 130.97728
2 16 130.428
2 17 125.336845
2 18 138.75
2 19 40.2
2 20 25.3
2 21 123.749214
2 22 135.19809
2 23 40.1
2 24 26.95
2 25 124.89
2 26 134.2
2 27 39.2
2 28 26.5
2 29 124.025
2 30 130.535
2 31 17.45
2 32 25.325
