
(rdkit3) C:\Users\jmn\Documents\GitHub\KnapsackSearch>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "oryz_2D_tagged.sdf" "4" "3d" 
Duration: 7642
0 0 28.1
0 1 71.963264
0 2 48.79082
0 3 59.156364
0 4 82.53813
0 5 33.774902
0 6 52.861057
0 7 49.35
0 8 50.8
0 9 173.04
0 12 44.27
0 13 76.54
0 14 38.73
0 15 18.45
0 16 157.68
0 17 106.11
0 18 42.69
0 21 178.61
0 23 21.149565
1 0 28.1
1 1 71.963264
1 2 48.79082
1 3 59.156364
1 4 82.53813
1 5 33.774902
1 6 52.861057
1 7 49.05
1 8 50.8
1 9 173.04
1 12 31.816843
1 13 43.42857
1 14 32.15
1 15 28.6
1 16 154.25714
1 17 104.0
1 18 43.060562
1 20 178.61
1 22 21.149565
2 0 24.842857
2 1 36.510075
2 2 44.6783
2 3 59.156364
2 4 82.53813
2 5 33.774902
2 6 52.861057
2 7 48.325
2 8 50.8
2 9 173.04
2 12 31.816843
2 13 43.42857
2 14 32.15
2 15 28.6
2 16 154.25714
2 17 104.0
2 18 43.060562
2 20 177.0142
2 22 26.137941
3 0 18.497894
3 1 36.510075
3 2 45.9875
3 3 45.977108
3 4 48.43292
3 5 35.152916
3 6 54.783
3 7 48.325
3 8 52.596096
3 9 174.27
3 12 44.27
3 13 76.54
3 14 38.73
3 15 26.935272
3 16 157.68
3 17 106.11
