C00017028 | Leersia virginica (Homolocenchrus virginicus)
C00023740 | Leersia virginica
C00000001 | Oryza sativa
C00000004 | Oryza sativa
C00000009 | Oryza sativa
C00000019 | Oryza sativa
C00000020 | Oryza sativa
C00000024 | Oryza sativa
C00000029 | Oryza sativa
C00000034 | Oryza sativa
C00000044 | Oryza sativa
C00000051 | Oryza sativa
C00000053 | Oryza sativa
C00000091 | Oryza sativa
C00000094 | Oryza sativa
C00000095 | Oryza sativa
C00000096 | Oryza sativa
C00000122 | Oryza sativa
C00000123 | Oryza sativa
C00000181 | Oryza sativa
C00000192 | Oryza sativa
C00000218 | Oryza officinalis
C00000259 | Oryza sativa
C00000260 | Oryza sativa
C00000367 | Oryza sativa L.
C00000798 | Oryza sativa
C00000867 | Oryza sativa
C00000880 | Oryza sativa
C00000883 | Oryza sativa
C00000889 | Oryza sativa
C00000897 | Oryza sativa
C00000899 | Oryza sativa
C00000982 | Oryza sativa
C00000999 | Oryza sativa
C00001233 | Oryza sativa cv. Heugjinjubyeo
C00002374 | Oryza spp.
C00002376 | Oryza spp.
C00002668 | Oryza sativa cv. Heugjinjubyeo
C00002682 | Oryza sativa cv. Heugjinjubyeo
C00002743 | Oryza sativa
C00003437 | Oryza sativa cv. koshihikari
C00003461 | Oryza sativa
C00003674 | Oryza sativa
C00003755 | Oryza sativa
C00003776 | Oryza sativa
C00003777 | Oryza sativa
C00003780 | Oryza sativa
C00003787 | Oryza sativa
C00004444 | Oryza sativa
C00004444 | Oryza spp.
C00004466 | Oryza spp.
C00004631 | Oryza sativa cv. Heugjinjubyeo
C00006177 | Oryza sativa
C00006184 | Oryza sativa
C00006188 | Oryza sativa
C00006210 | Oryza sativa
C00006272 | Oryza sativa
C00006334 | Oryza sativa
C00006336 | Oryza sativa
C00006382 | Oryza sativa
C00006681 | Oryza spp.
C00006698 | Oryza spp.
C00006734 | Oryza sativa
C00006796 | Oryza spp.
C00006799 | Oryza spp.
C00006860 | Oryza spp.
C00006877 | Oryza spp.
C00007253 | Oryza sativa
C00007253 | Oryza sativa L.
C00007363 | Oryza sativa L.
C00007364 | Oryza sativa L.
C00007365 | Oryza sativa L.
C00007366 | Oryza sativa L.
C00007461 | Oryza sativa
C00007472 | Oryza sativa
C00007473 | Oryza sativa
C00019252 | Oryza sativa cv. Heugjinjubyeo
C00029298 | Oryza sativa L.cv Koshihikari
C00033813 | Oryza sativa
C00034090 | Oryza sativa
C00034091 | Oryza sativa
C00034092 | Oryza sativa
C00034093 | Oryza sativa
C00034094 | Oryza sativa
C00034141 | Oryza sativa
C00034141 | Oryza sativa L.
C00034142 | Oryza sativa
C00034142 | Oryza sativa L.
C00034143 | Oryza sativa
C00034143 | Oryza sativa L.
C00034144 | Oryza sativa
C00034144 | Oryza sativa L.
C00034649 | Oryza sativa
C00035044 | Oryza sativa L.
C00035060 | Oryza sativa L.
C00035077 | Oryza sativa L.
C00035101 | Oryza sativa L.
C00035146 | Oryza sativa
C00035146 | Oryza sativa L.
C00035468 | Oryza sativa L.
C00035472 | Oryza sativa L.
C00035475 | Oryza sativa L.
C00035481 | Oryza sativa L.
C00035484 | Oryza sativa L.
C00035497 | Oryza sativa L.
C00035712 | Oryza sativa
C00036259 | Oryza sativa L.
C00046784 | Oryza sativa
