
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "papaver_2D_tagged.sdf" "4" "3d" 
Duration: 12728
0 0 118.545
0 1 120.2375
0 2 111.3
0 3 136.05
0 4 127.13
0 5 118.62
0 6 108.81
0 7 123.6
0 9 33.23
0 10 173.9
0 13 48.85
0 14 35.815
0 15 175.9
0 18 171.4
1 0 120.2375
1 1 120.415
1 2 118.825
1 3 128.15
1 4 136.65
1 5 111.22
1 7 124.4
1 8 110.85
1 9 28.0
1 10 57.3
1 12 172.31221
1 14 43.85
1 15 176.20018
1 18 177.544
2 0 121.0
2 1 116.275
2 2 149.0
2 3 145.74
2 4 114.3
2 5 125.9
2 6 144.6
2 7 115.0
2 8 168.25
3 0 152.7
3 1 103.29425
3 2 157.9
3 3 105.4
3 4 144.3
3 5 126.7
3 8 146.6
3 9 136.6
3 10 176.7
3 13 123.4
3 14 130.4
3 15 116.3
3 16 160.12
3 17 116.3
3 18 130.4
4 0 71.01617
4 1 72.84019
4 2 67.5
4 3 99.22
4 5 75.662125
4 6 60.79778
4 9 65.003334
5 0 71.08601
5 1 76.50483
5 2 67.5
5 3 98.2
5 5 75.662125
5 6 61.565636
5 9 65.585
6 0 166.6
6 2 132.6
6 3 132.6
6 4 166.6
7 0 13.97
7 1 22.15
7 2 32.043335
7 3 28.72
7 4 29.583578
7 5 29.42
7 6 30.72
7 7 26.8
7 8 38.43
7 9 72.43
7 11 38.43
7 12 26.8
7 13 30.72
7 14 29.42
7 15 29.24
7 16 29.42
7 17 29.505
7 18 29.505
7 19 29.505
7 20 29.505
7 21 29.505
7 22 29.505
7 23 29.42
7 24 29.075
7 25 29.04
7 26 28.72
7 27 32.043335
7 28 22.15
7 29 13.97
8 0 147.31802
8 1 107.85381
8 2 179.9
8 4 107.85381
8 5 147.31802
8 7 161.11067
8 10 161.11067
9 0 144.2329
9 1 116.08481
9 2 124.9
9 3 133.325
9 4 115.87913
9 5 145.34134
9 7 39.5
9 8 43.366665
10 1 41.954544
10 2 30.863636
10 3 30.863636
10 4 41.954544
11 0 115.06
11 1 129.385
11 2 130.04
11 3 129.385
11 4 115.06
11 5 156.05571
11 7 38.8
11 8 43.092175
12 0 148.2
12 1 147.2
12 2 110.7
12 3 129.5
12 4 123.4
12 5 111.3
12 6 26.5
12 7 50.4
12 9 66.7
12 10 84.9
12 11 140.8
12 12 110.3
12 13 167.2
12 16 144.5
12 17 149.1
12 18 113.1
12 19 115.5
12 21 103.3
12 23 45.0
12 25 55.6
12 27 55.94564
