
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "rubiac_2D_tagged.sdf" "4" "3d" 
Duration: 23787
0 0 36.0
0 1 47.1
0 2 97.9
0 4 151.71428
0 5 110.295
0 6 168.185
0 9 51.525
0 11 97.9
0 12 74.39333
0 13 77.78806
0 14 69.666664
0 15 78.13677
0 17 62.5
0 22 145.3
0 23 126.9
0 24 39.3
0 25 60.8
1 0 36.0
1 1 44.8
1 2 96.8
1 4 153.04039
1 5 110.295
1 6 168.185
1 9 51.525
1 11 145.08571
1 12 126.9
1 13 39.3
1 14 61.057144
2 0 118.2
2 1 114.9
2 2 146.653
2 3 147.58571
2 4 109.2
2 5 132.4
2 6 85.5
2 8 71.52857
2 9 54.228573
2 10 54.228573
2 11 71.52857
2 13 85.5
2 14 132.4
2 15 118.2
2 16 114.9
2 17 146.653
2 18 147.58571
2 19 109.2
2 21 56.222
2 24 56.222
3 0 115.15
3 1 145.8
3 2 147.45
3 3 113.2
3 4 132.9
3 5 121.9
3 6 33.9
3 7 43.8
3 8 48.259136
3 9 63.964725
3 11 87.6
3 13 73.3
3 14 133.6
3 15 119.057144
3 16 114.9
3 17 146.27155
3 18 147.58571
3 19 110.0
3 21 55.7
3 24 55.974922
4 0 147.45
4 1 145.8
4 2 115.15
4 3 121.6
4 4 133.5
4 5 112.05
4 6 39.1
4 7 41.130676
4 8 41.130676
4 9 39.1
4 10 133.5
4 11 121.6
4 12 115.15
4 13 145.8
4 14 147.45
4 15 112.05
4 17 55.974922
4 19 65.52857
4 21 65.52857
4 25 55.974922
5 0 122.91694
5 1 115.68014
5 2 149.23985
5 3 148.82878
5 4 111.41473
5 5 133.0
5 6 131.2
5 7 128.45
5 8 63.5
5 11 55.7
6 0 121.0
6 1 116.275
6 2 149.0
6 3 145.74
6 4 114.3
6 5 125.9
6 6 144.6
6 7 115.0
6 8 168.25
7 0 114.9
7 1 146.27155
7 2 147.58571
7 3 109.2
7 4 132.4
7 5 118.2
7 6 85.4
7 8 70.9
7 9 50.1
7 10 54.5
7 11 69.6
7 13 82.0
7 14 132.9
7 15 104.192856
7 16 150.38571
7 17 134.06
7 18 150.38571
7 19 104.192856
7 21 56.273335
7 24 56.273335
7 26 56.222
8 0 118.2
8 1 114.9
8 2 146.27155
8 3 147.58571
8 4 109.2
8 5 132.4
8 6 85.4
8 8 70.9
8 9 50.1
8 10 54.5
8 11 69.6
8 13 82.0
8 14 132.9
8 15 102.78519
8 16 151.83951
8 17 139.05
8 18 151.83951
