C00003202 | Alberta magna
C00013782 | Alibertia sessilis
C00013874 | Alibertia sessilis
C00001407 | Antirhea lucida
C00001686 | Antirhea putaminosa
C00026779 | Antirhea lucida
C00002785 | Asperula odorata
C00002786 | Asperula odorata
C00002838 | Asperula odorata
C00002856 | Asperula spp.
C00002857 | Asperula odorata
C00003072 | Asperula odorata
C00003072 | Asperula spp.
C00003089 | Asperula spp.
C00032518 | Asperula odorata
C00045670 | Asperula maximowiczii
C00045671 | Asperula maximowiczii
C00045672 | Asperula maximowiczii
C00002704 | Bathysa meridionalis
C00040869 | Burchellia bubalina
C00040898 | Burchellia bubalina
C00003088 | Calycophyllum spruceanum
C00010744 | Calycophyllum spruceanum
C00010772 | Calycophyllum spruceanum
C00026399 | Calycophyllum spruceanum
C00031346 | Calycophyllum spruceanum
C00036132 | Calycophyllum spruceanum
C00050757 | Calycophyllum spruceanum
C00001995 | Canthium euryoides
C00002707 | Canthium berberidifolium
C00010564 | Canthium berberidifolium
C00010688 | Canthium subcordatum
C00013885 | Canthium dicoccum
C00019793 | Canthium berberidifolium
C00031877 | Canthium berberidifolium
C00033999 | Canthium berberidifolium
C00036875 | Canthium berberidifolium
C00036876 | Canthium berberidifolium
C00036877 | Canthium berberidifolium
C00036878 | Canthium berberidifolium
C00001408 | Cephaelis acuminata
C00001778 | Cephaelis ipecacuanha
C00001835 | Cephaelis acuminata
C00001835 | Cephaelis ipecacuanha
C00001848 | Cephaelis acuminata
C00001848 | Cephaelis ipecacuanha
C00001849 | Cephaelis acuminata
C00001849 | Cephaelis ipecacuanha
C00001868 | Cephaelis acuminata
C00001868 | Cephaelis ipecacuanha
C00001907 | Cephaelis acuminata
C00001907 | Cephaelis ipecacuanha
C00002374 | Cephaelis subcoriacea
C00003098 | Cephaelis acuminata
C00010794 | Cephaelis acuminata Karsten
C00027242 | Cephaelis acuminata
C00027245 | Cephaelis acuminata
C00027251 | Cephaelis acuminata
C00027342 | Cephaelis acuminata
C00027384 | Cephaelis acuminata
C00027421 | Cephaelis acuminata
C00027472 | Cephaelis acuminata
C00027771 | Cephaelis ipecacuanha
C00028162 | Cephaelis acuminata Karsten
C00028162 | Cephaelis ipecacuanha
C00028388 | Cephaelis ipecacuanha
C00028669 | Cephaelis ipecacuanha
C00036636 | Cephaelis acuminata Karsten
C00036638 | Cephaelis acuminata Karsten
C00036639 | Cephaelis acuminata Karsten
C00038231 | Cephaelis acuminata
C00038322 | Cephaelis acuminata
C00038339 | Cephaelis acuminata
C00051863 | Cephaelis acuminata
C00051864 | Cephaelis acuminata
C00051867 | Cephaelis acuminata
C00051873 | Cephaelis acuminata
C00025915 | Chimarrhis turbinata
C00026074 | Chimarrhis turbinata
C00026651 | Chimarrhis turbinata
C00026772 | Chimarrhis turbinata
C00029058 | Chimarrhis turbinata
C00034294 | Chimarrhis turbinata
C00038996 | Chimarrhis turbinata
C00043209 | Chimarrhis turbinata
C00043406 | Chimarrhis turbinata
C00043569 | Chimarrhis turbinata
C00003558 | Chiococca alba
C00003737 | Chiococca alba
C00003738 | Chiococca alba
C00019064 | Chiococca alba
C00046128 | Chiococca alba
C00003672 | Chione venosa (sw.) Urban var.venosa
C00010744 | Chione venosa (sw.) Urban var.venosa
C00010779 | Chione venosa (sw.) Urban var.venosa
C00010794 | Chione venosa (sw.) Urban var.venosa
C00019308 | Chione venosa (sw.) Urban var.venosa
C00000615 | Cinchona cuprea
C00000956 | Cinchona succirubra
C00001128 | Cinchona spp.
C00001690 | Cinchona pelletierana
C00002147 | Cinchona ledgeriana
C00002147 | Cinchona officinalis
C00002147 | Cinchona robusta
C00002147 | Cinchona succirubra
C00002147 | Cinchona tucujensis
C00002173 | Cinchona officinalis
C00002193 | Cinchona ledgariana
C00002193 | Cinchona ledgeriana
C00002193 | Cinchona officinalis
C00002193 | Cinchona pelletierana Wedd.
C00002193 | Cinchona pubescens
C00002193 | Cinchona robusta
C00002193 | Cinchona rosulenta
C00002193 | Cinchona succirubra
C00002786 | Cinchona spp.
C00002804 | Cinchona ledgeriana
C00002814 | Cinchona ledgeriana
C00002814 | Cinchona spp.
C00002858 | Cinchona spp.
C00002913 | Cinchona succirubra
C00006650 | Cinchona ledgeriana
C00008964 | Cinchona succirubra
C00008965 | Cinchona succirubra
C00008966 | Cinchona succirubra
C00009098 | Cinchona succirubra
C00009186 | Cinchona succirubra
C00009187 | Cinchona succirubra
C00025132 | Cinchona succirubra Pav.
C00025142 | Cinchona ledgeriana
C00025142 | Cinchona succirubra Pav.
C00025201 | Cinchona ledgeriana
C00025201 | Cinchona succirubra Pav.
C00029058 | Cinchona ledgeriana
C00029058 | Cinchona officinalis
C00029058 | Cinchona robusta
C00031117 | Cinchona ledgariana
C00031117 | Cinchona ledgeriana
C00031117 | Cinchona officinalis
C00031117 | Cinchona pubescens
C00031117 | Cinchona robusta
C00034185 | Cinchona ledgariana
C00038111 | Cinchona robusta
C00038829 | Cinchona robusta
C00040159 | Cinchona robusta
C00040160 | Cinchona robusta
C00040161 | Cinchona robusta
C00040162 | Cinchona robusta
C00040163 | Cinchona robusta
C00040164 | Cinchona robusta
C00040165 | Cinchona robusta
C00040166 | Cinchona robusta
C00050560 | Cinchona ledgeriana
C00050560 | Cinchona officinalis
C00050560 | Cinchona robusta
C00051785 | Cinchona ledgeriana
C00051785 | Cinchona officinalis
C00051785 | Cinchona robusta
C00051786 | Cinchona ledgeriana
C00051786 | Cinchona officinalis
C00051786 | Cinchona robusta
C00000615 | Coffea arabica
C00001490 | Coffea arabica
C00001490 | Coffea canephora
C00001490 | Coffea dewevrei
C00001490 | Coffea eugeniodes
C00001490 | Coffea kianjavatensis
C00001490 | Coffea liberica
C00001490 | Coffea racemosa
C00001490 | Coffea salvatrix
C00001492 | Coffea arabica
C00001492 | Coffea canephora
C00001492 | Coffea dewevrei
C00001492 | Coffea eugeniodes
C00001492 | Coffea eugenioides
C00001492 | Coffea excelsa
C00001492 | Coffea kianjavatensis
C00001492 | Coffea liberica
C00001492 | Coffea racemosa
C00001492 | Coffea salvatrix
C00001492 | Coffea spp
C00001492 | Coffea spp.
C00001509 | Coffea canephora
