
(rdkit3) C:\Users\jmn\Documents\CNRS19\Bologne\Biblio\Knapsack>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "trichocom_2D_tagged.sdf" "4" "3d" 
Duration: 32775
0 0 136.8
0 1 117.8
0 2 161.9
0 3 106.6
0 4 141.2
0 5 116.2
0 6 69.1
0 7 79.9
0 9 168.5
0 11 17.9
1 0 123.5
1 1 134.4
1 2 115.807144
1 3 160.87334
1 4 108.890976
1 5 140.85
1 6 23.4
1 7 172.53339
2 0 112.136665
2 1 163.54834
2 2 101.93857
2 3 163.23692
2 4 108.890976
2 5 145.38383
2 6 23.15766
2 7 172.53339
3 0 114.901
3 1 144.02661
3 2 40.514294
3 3 75.903755
3 5 161.61708
3 7 26.53148
3 8 26.53148
3 9 35.152916
3 10 35.152916
3 11 51.295
3 12 55.6
3 13 76.72554
3 14 23.273914
3 16 44.867176
3 17 58.61414
3 18 48.43292
3 19 139.2
3 20 136.25304
3 21 46.6
3 22 211.09546
3 24 48.3
3 25 26.342857
3 26 169.2
3 29 73.493256
3 30 20.9
4 0 88.13333
4 1 164.62
4 4 164.3
4 5 111.8
4 6 163.14209
4 8 56.118668
4 9 186.49709
4 11 129.65
4 12 143.85
4 13 18.55
4 14 18.910126
5 0 88.13333
5 1 164.62
