
(rdkit3) C:\Users\jmn\Documents\GitHub\KnapsackSearch>"C:\Users\jmn\Documents\jdk1.8.0_202\bin\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/lib/cdk-interfaces.jar;nmrshiftdb2/lib/cdk-io.jar;nmrshiftdb2/lib/cdk-core.jar;nmrshiftdb2/lib/cdk-data.jar;nmrshiftdb2/lib/cdk-standard.jar;nmrshiftdb2/lib/cdk-sdg.jar;nmrshiftdb2/lib/cdk-valencycheck.jar;nmrshiftdb2/lib/vecmath1.2-1.14.jar;nmrshiftdb2/lib/jgrapht.jar;nmrshiftdb2/lib/antlr-2.7.2.jar;nmrshiftdb2/lib/cdk-atomtype.jar;nmrshiftdb2/lib/cdk-ioformats.jar;nmrshiftdb2/lib/cdk-legacy.jar;nmrshiftdb2/lib/guava-17.0.jar;nmrshiftdb2/lib/cdk-smiles.jar;nmrshiftdb2/lib/beam-core-0.9.2.jar;nmrshiftdb2/lib/beam-func-0.9.2.jar;. Demo "papaver_2D_tagged.sdf" "4" "3d" 
Duration: 13569
0 0 118.545
0 1 120.2375
0 2 111.3
0 3 136.05
0 4 127.13
0 5 118.62
0 6 108.81
0 7 123.6
0 9 33.23
0 10 173.9
0 13 48.85
0 14 35.815
0 15 175.9
0 18 171.4
1 0 120.2375
1 1 120.415
1 2 118.825
1 3 128.15
1 4 136.65
1 5 111.22
1 7 124.4
1 8 110.85
1 9 28.0
1 10 57.3
1 12 172.31221
1 14 43.85
1 15 176.20018
1 18 177.544
2 0 121.0
2 1 116.275
2 2 149.0
2 3 145.74
2 4 114.3
2 5 125.9
2 6 144.6
2 7 115.0
2 8 168.25
3 0 152.7
3 1 103.29425
3 2 157.9
3 3 105.4
3 4 144.3
3 5 126.7
3 8 146.6
3 9 136.6
3 10 176.7
3 13 123.4
3 14 130.4
3 15 116.3
3 16 160.12
3 17 116.3
3 18 130.4
4 0 71.01617
4 1 72.84019
4 2 67.5
4 3 99.22
4 5 75.662125
4 6 60.79778
4 9 65.003334
5 0 71.08601
5 1 76.50483
5 2 67.5
5 3 98.2
5 5 75.662125
5 6 61.565636
5 9 65.585
6 0 166.6
6 2 132.6
6 3 132.6
6 4 166.6
7 0 147.31802
7 1 107.85381
7 2 179.9
7 4 107.85381
7 5 147.31802
7 7 161.11067
7 10 161.11067
8 0 144.2329
8 1 116.08481
8 2 124.9
8 3 133.325
8 4 115.87913
8 5 145.34134
8 7 39.5
8 8 43.366665
9 1 41.954544
9 2 30.863636
9 3 30.863636
9 4 41.954544
10 0 115.06
10 1 129.385
10 2 130.04
10 3 129.385
10 4 115.06
10 5 156.05571
10 7 38.8
10 8 43.092175
11 0 148.2
11 1 147.2
11 2 110.7
11 3 129.5
11 4 123.4
11 5 111.3
11 6 26.5
11 7 50.4
11 9 66.7
11 10 84.9
11 11 140.8
11 12 110.3
11 13 167.2
11 16 144.5
11 17 149.1
11 18 113.1
11 19 115.5
11 21 103.3
11 23 45.0
11 25 55.6
11 27 55.94564
12 0 147.63559
12 1 150.0
12 2 109.55
12 3 130.9
12 4 134.2
12 5 110.484535
12 6 31.9
12 7 57.1
12 9 49.5
12 10 128.4
12 11 128.9
12 12 45.7
12 13 193.0
12 15 127.1
12 16 110.3
12 17 147.1
12 18 151.1
12 20 60.3
12 22 55.7
12 23 40.7
12 25 101.18291
13 0 148.3
13 1 149.7
13 2 105.95
13 3 142.87483
13 4 127.8
13 5 113.0
13 6 33.766666
13 7 56.65
